itemLabel,partyLabel,date
Alexander Dobrindt,Christlich-Soziale Union in Bayern,2012-04-26T00:00:00Z
Alexander Dobrindt,Christlich-Soziale Union in Bayern,2012-05-23T00:00:00Z
Alexander Dobrindt,Christlich-Soziale Union in Bayern,2013-02-06T00:00:00Z
Alexander Dobrindt,Christlich-Soziale Union in Bayern,2013-04-23T00:00:00Z
Alexander Ahrens,Sozialdemokratische Partei Deutschlands,2016-02-23T00:00:00Z
Alexander Hold,Freie Wähler,2011-06-01T00:00:00Z
Alexander Hold,Freie Wähler,2011-09-28T00:00:00Z
Alexander Hold,Freie Wähler,2014-03-13T00:00:00Z
Alexander Hold,Freie Wähler,2015-03-31T00:00:00Z
Alexander Hold,Freie Wähler,2016-01-26T00:00:00Z
Alexander Hold,Freie Wähler,2011-06-01T00:00:00Z
Alexander Hold,Freie Wähler,2011-09-28T00:00:00Z
Alexander Hold,Freie Wähler,2014-03-13T00:00:00Z
Alexander Hold,Freie Wähler,2015-03-31T00:00:00Z
Alexander Hold,Freie Wähler,2016-01-26T00:00:00Z
Alexander Hold,Freie Wähler,2011-06-01T00:00:00Z
Alexander Hold,Freie Wähler,2011-09-28T00:00:00Z
Alexander Hold,Freie Wähler,2014-03-13T00:00:00Z
Alexander Hold,Freie Wähler,2015-03-31T00:00:00Z
Alexander Hold,Freie Wähler,2016-01-26T00:00:00Z
Alexander Hold,Freie Wähler,2011-06-01T00:00:00Z
Alexander Hold,Freie Wähler,2011-09-28T00:00:00Z
Alexander Hold,Freie Wähler,2014-03-13T00:00:00Z
Alexander Hold,Freie Wähler,2015-03-31T00:00:00Z
Alexander Hold,Freie Wähler,2016-01-26T00:00:00Z
Alexander Hold,Freie Wähler,2011-06-01T00:00:00Z
Alexander Hold,Freie Wähler,2011-09-28T00:00:00Z
Alexander Hold,Freie Wähler,2014-03-13T00:00:00Z
Alexander Hold,Freie Wähler,2015-03-31T00:00:00Z
Alexander Hold,Freie Wähler,2016-01-26T00:00:00Z
Alexander Gauland,Alternative für Deutschland,2017-10-03T00:00:00Z
Alexander Gauland,Alternative für Deutschland,2019-09-04T00:00:00Z
Alexander Gauland,Alternative für Deutschland,2021-06-24T00:00:00Z
Alexander Gauland,Alternative für Deutschland,2017-10-03T00:00:00Z
Alexander Gauland,Alternative für Deutschland,2019-09-04T00:00:00Z
Alexander Gauland,Alternative für Deutschland,2021-06-24T00:00:00Z
Alexander Gauland,Alternative für Deutschland,2017-10-03T00:00:00Z
Alexander Gauland,Alternative für Deutschland,2019-09-04T00:00:00Z
Alexander Gauland,Alternative für Deutschland,2021-06-24T00:00:00Z
Adrian Pracon,Arbeiderpartiet,2011-08-17T00:00:00Z
Adrian Pracon,Sosialistisk Venstreparti,2011-08-17T00:00:00Z
Barack Obama,Demokratische Partei,2020-11-19T00:00:00Z
Aygül Özkan,Christlich Demokratische Union,2010-10-13T00:00:00Z
Armin Laschet,Christlich Demokratische Union,2013-11-21T00:00:00Z
Armin Laschet,Christlich Demokratische Union,2016-05-12T00:00:00Z
Armin Laschet,Christlich Demokratische Union,2017-01-24T00:00:00Z
Armin Laschet,Christlich Demokratische Union,2017-09-27T00:00:00Z
