Sendungstitel,FolgenNr,Staffel,Folge,Datum,Dauer,Sendezeit,Gästesubstr,Gast_1,Beschreibung_1,Gast_2,Beschreibung_2,Gast_3,Beschreibung_3,Gast_4,Beschreibung_4,Gast_5,Beschreibung_5,Gast_6,Beschreibung_6,Gast_7,Beschreibung_7,Gast_8,Beschreibung_8
 Markus Lanz 28.01.2016,823,9,9,28.01.2016,074'54,23:20:47 - 00:35:41," 23:20:47 - 00:35:41 074'54 O-Ton Interview Markus LANZ mit den Studiogästen Reinhold BECKMANN (Moderator), Susanne FRÖHLICH (Autorin), Nina WAGNER (Autorin, Studentin), Walter WÜLLENWEBER (Journalist), Wulf GALLERT (Die Linke), Matthias MATSCHKE (Schauspieler) ",Reinhold BECKMANN,Moderator,Susanne FRÖHLICH,Autorin,Nina WAGNER,"Autorin, Studentin",Walter WÜLLENWEBER,Journalist,Wulf GALLERT,Die Linke,Matthias MATSCHKE,Schauspieler,,,,
 Markus Lanz 02.02.2016,824,9,10,02.02.2016,074'26,23:14:57 - 00:29:23," 23:14:57 - 00:29:23 074'26 O-Ton Interview Markus LANZ mit den Studiogästen Michael SPRENG (Journalist und Politikberater), Harald KRASSNITZER (Schauspieler), Doreen KRÖBER (Extremabenteurerin), Andreas ZMUDA (Extremabenteurer), Tobias REICHMANN (Handballprofi), Dagur SIGURDSSON (Handball-Trainer) ",Michael SPRENG,Journalist und Politikberater,Harald KRASSNITZER,Schauspieler,Doreen KRÖBER,Extremabenteurerin,Andreas ZMUDA,Extremabenteurer,Tobias REICHMANN,Handballprofi,Dagur SIGURDSSON,Handball-Trainer,,,,
 Markus Lanz 03.02.2016,825,9,11,03.02.2016,075'12,23:12:44 - 00:27:56," 23:12:44 - 00:27:56 075'12 O-Ton Interview Markus LANZ mit den Studiogästen Thomas GOTTSCHALK (Entertainer), Hans-Jürgen TÖGEL (Regisseur), Sabine POSTEL (Schauspielerin), Volker BRANDT (Schauspieler), Jochen BUSSE (Schauspieler, Kabarettist) ",Thomas GOTTSCHALK,Entertainer,Jürgen TÖGEL,Regisseur,Sabine POSTEL,Schauspielerin,Volker BRANDT,Schauspieler,Jochen BUSSE,"Schauspieler, Kabarettist",,,,,,
 Markus Lanz 04.02.2016,826,9,12,04.02.2016,075'11,22:58:59 - 00:14:10," 22:58:59 - 00:14:10 075'11 O-Ton Interview Markus LANZ mit den Studiogästen Prof. Rita SÜSSMUTH (ehem. BTPräs ,CDU), Til SCHWEIGER (Schauspieler), Sascha LOBO (Journalist, Blogger), Valerie NIEHAUS (Schauspielerin), Sarah FISCHER (Autorin) ",Rita SÜSSMUTH,"ehem. BTPräs ,CDU",Til SCHWEIGER,Schauspieler,Sascha LOBO,"Journalist, Blogger",Valerie NIEHAUS,Schauspielerin,Sarah FISCHER,Autorin,,,,,,
 Markus Lanz 09.02.2016,827,9,13,09.02.2016,075'06,10:00:00 - 11:15:06," 10:00:00 - 11:15:06 075'06 O-Ton Interview Markus LANZ mit den Studiogästen Wolfgang SCHU (Kriminalhauptkommissar), Rudi CERNE (Moderator), Thomas HÄßLER (ehem. Fußballspieler, Fußballtrainer), Thomas BERTHOLD (ehem. Fußballspieler), Nicole JÄGER (Ernährungscoach), Torsten STRÄTER (Kabarettist, Autor und Satiriker) ",Wolfgang SCHU,Kriminalhauptkommissar,Rudi CERNE,Moderator,Thomas HÄßLER,"ehem. Fußballspieler, Fußballtrainer",Thomas BERTHOLD,ehem. Fußballspieler,Nicole JÄGER,Ernährungscoach,Torsten STRÄTER,"Kabarettist, Autor und Satiriker",,,,
 Markus Lanz 10.02.2016,828,9,14,10.02.2016,075'30,10:00:00 - 11:15:30," 10:00:00 - 11:15:30 075'30 O-Ton Interview Markus LANZ mit den Studiogästen Ulrich KIENZLE (Journalist), Sabatina JAMES (Islamkritikerin), Jan WEILER (Autor), Sandra LIMONCINI (Autorin), Max MUTZKE (Sänger) ",Ulrich KIENZLE,Journalist,Sabatina JAMES,Islamkritikerin,Jan WEILER,Autor,Sandra LIMONCINI,Autorin,Max MUTZKE,Sänger,,,,,,
 Markus Lanz 11.02.2016,829,9,15,11.02.2016,075'20,10:00:00 - 11:15:20," 10:00:00 - 11:15:20 075'20 O-Ton Interview Markus LANZ mit den Studiogästen Ben BECKER (Schauspieler), Katrin BAUERFEIND (Moderatorin), Sebastian KNAUER (Journalist), Christian KRUG (Journalist), Prof. Jürgen SCHÄFER (Arzt) ",Ben BECKER,Schauspieler,Katrin BAUERFEIND,Moderatorin,Sebastian KNAUER,Journalist,Christian KRUG,Journalist,Jürgen SCHÄFER,Arzt,,,,,,
 Markus Lanz 16.02.2016,830,9,16,16.02.2016,075'23,23:20:37 - 00:36:00," 23:20:37 - 00:36:00 075'23 O-Ton Interview Markus LANZ mit den Studiogästen Borwin BANDELOW (Psychiater), Gerhart BAUM (ehem. BMI, FDP), Katja GLOGER (Journalistin), Dirk MÜLLER (Börsenexperte), Meta HILTEBRAND (Köchin, Fernsehköchin) ",Borwin BANDELOW,Psychiater,Gerhart BAUM,"ehem. BMI, FDP",Katja GLOGER,Journalistin,Dirk MÜLLER,Börsenexperte,Meta HILTEBRAND,"Köchin, Fernsehköchin",,,,,,
 Markus Lanz 17.02.2016,831,9,17,17.02.2016,070'41,23:49:33 - 01:00:14," 23:49:33 - 01:00:14 070'41 O-Ton Interview Markus LANZ mit den Studiogästen Markus WASMEIER (ehem. Skirennläufer), Heribert FAßBENDER (ehem. Sportreporter), Miriam HÖLLER (Model und Stuntfrau), Urs MEIER (ehem. Fußballschiedsrichter), Raul KRAUTHAUSEN (Aktivist) ",Markus WASMEIER,ehem. Skirennläufer,Heribert FAßBENDER,ehem. Sportreporter,Miriam HÖLLER,Model und Stuntfrau,Urs MEIER,ehem. Fußballschiedsrichter,Raul KRAUTHAUSEN,Aktivist,,,,,,
 Markus Lanz 18.02.2016,832,9,18,18.02.2016,074'45,23:18:39 - 00:33:24," 23:18:39 - 00:33:24 074'45 O-Ton Interview Markus LANZ mit den Studiogästen Ulrich TILGNER (Journalist), Harald KUJAT (ehem. General der Luftwaffe), Firas ALSHATER (Filmemacher), Gaby DOHM (Schauspielerin), Janin REINHARDT (Moderatorin) ",Ulrich TILGNER,Journalist,Harald KUJAT,ehem. General der Luftwaffe,Firas ALSHATER,Filmemacher,Gaby DOHM,Schauspielerin,Janin REINHARDT,Moderatorin,,,,,,
 Markus Lanz 23.02.2016,833,9,19,23.02.2016,075'18,23:38:53 - 00:54:11," 23:38:53 - 00:54:11 075'18 O-Ton Interview Markus LANZ mit den Studiogästen Alexander AHRENS (OB Bautzen), Nikolaus BLOME (Journalist), Schanna NEMZOWA (Autorin, Tochter des ermordeten russischen Oppositionspolitikers Boris Nemzow), Andreas ENGLISCH (Journalist und Autor) ",Alexander AHRENS,OB Bautzen,Nikolaus BLOME,Journalist,Schanna NEMZOWA,"Autorin, Tochter des ermordeten russischen Oppositionspolitikers Boris Nemzow",Andreas ENGLISCH,Journalist und Autor,,,,,,,,
 Markus Lanz 24.02.2016,834,9,20,24.02.2016,070'05,23:50:01 - 01:00:06," 23:50:01 - 01:00:06 070'05 O-Ton Interview Markus LANZ mit den Studiogästen Sebastian HELLMANN (Moderator), Waldemar HARTMANN (Moderator), Martin RÜTTER (Hundetrainer), Anja LUKASEDER (Musikmanagerin), Menderes BAGCI (Castingshow-Teilnehmer) ",Sebastian HELLMANN,Moderator,Waldemar HARTMANN,Moderator,Martin RÜTTER,Hundetrainer,Anja LUKASEDER,Musikmanagerin,Menderes BAGCI,Castingshow-Teilnehmer,,,,,,
 Markus Lanz 25.02.2016,835,9,21,25.02.2016,075'29,23:23:50 - 00:39:19," 23:23:50 - 00:39:19 075'29 O-Ton Interview Markus LANZ mit den Studiogästen Uwe-Karsten HEYE (Autor, Journalist), Willi LEMKE (ehem. Senator), Alexandra LEGAT (Ehefrau von Thorsten Legat) und Thorsten LEGAT (ehem. Fußballspieler, Fußballtrainer), Micky BEISENHERZ (Autor, Moderator), Prof. Michael SCHULTE-MARKWORT (Arzt) ",Karsten HEYE,"Autor, Journalist",Willi LEMKE,ehem. Senator,Alexandra LEGAT,Ehefrau von Thorsten Legat,Thorsten LEGAT,"ehem. Fußballspieler, Fußballtrainer",Micky BEISENHERZ,"Autor, Moderator",Michael SCHULTE-MARKWORT,Arzt,,,,
 Markus Lanz 01.03.2016,836,9,22,01.03.2016,075'45,22:44:47 - 00:00:32," 22:44:47 - 00:00:32 075'45 O-Ton Interview Markus LANZ mit den Studiogästen Gela ALLMANN (Sportlerin und Model), Jürgen MILSKI (Entertainer), Dominic SCHMITZ (Autor), Heinz BUSCHOWSKY (Politiker, SPD, ehem. Bezirksbürgermeister Berlin-Neukölln), Mark BENECKE (Kriminalbiologe) ",Gela ALLMANN,Sportlerin und Model,Jürgen MILSKI,Entertainer,Dominic SCHMITZ,Autor,Heinz BUSCHOWSKY,"Politiker, SPD, ehem. Bezirksbürgermeister Berlin-Neukölln",Mark BENECKE,Kriminalbiologe,,,,,,
 Markus Lanz 02.03.2016,837,9,23,02.03.2016,075'23,23:32:43 - 00:48:06," 23:32:43 - 00:48:06 075'23 O-Ton Interview Markus LANZ mit den Studiogästen Wolf VON LOJEWSKI (Journalist), Sebastian PUFPAFF (Kabarettist), Markus FELDENKIRCHEN (Journalist), Enissa AMANI (Comedian), Helge TIMMERBERG (Autor) ",Wolf VON,Journalist,Sebastian PUFPAFF,Kabarettist,Markus FELDENKIRCHEN,Journalist,Enissa AMANI,Comedian,Helge TIMMERBERG,Autor,,,,,,
 Markus Lanz 03.03.2016,838,9,24,03.03.2016,075'13,23:20:58 - 00:36:11," 23:20:58 - 00:36:11 075'13 O-Ton Interview Markus LANZ mit den Studiogästen Christoph SCHWENNICKE (Journalist), Tim MÄLZER (Koch), Prof. Thomas FISCHER (Richter), Victoria SCHWARZ (Autorin), Gerwald ""Faxe"" CLAUS-BRUNNER (Piratenpartei) ",Christoph SCHWENNICKE,Journalist,Tim MÄLZER,Koch,Thomas FISCHER,Richter,Victoria SCHWARZ,Autorin,,,,,,,,
 Markus Lanz 08.03.2016,839,9,25,08.03.2016,075'29,22:45:28 - 00:00:57," 22:45:28 - 00:00:57 075'29 O-Ton Interview Markus LANZ mit den Studiogästen Klaus F SCHMIDT (ehemaliger Millionär, Autor), Prof. Dr. Peter BERTHOLD (Ornithologe, Verhaltensforscher), Paul PANZER (Comedian), Kilian KLEINSCHMIDT (ehem. Flüchtlingshelfer der UNO), Monika FABRICIUS (Journalistin) und Aeham AHMAD (syrisch-palästinensischer Pianist) ",Klaus F SCHMIDT,"ehemaliger Millionär, Autor",Peter BERTHOLD,"Ornithologe, Verhaltensforscher",Paul PANZER,Comedian,Kilian KLEINSCHMIDT,ehem. Flüchtlingshelfer der UNO,Monika FABRICIUS,Journalistin,Aeham AHMAD,syrisch-palästinensischer Pianist,,,,
 Markus Lanz 09.03.2016,840,9,26,09.03.2016,075'57,23:06:31 - 00:22:28," 23:06:31 - 00:22:28 075'57 O-Ton Interview Markus LANZ mit den Studiogästen Marcel REIF (Journalist), Sophia WOLLERSHEIM (DJane), Ildiko VON KÜRTHY (Autorin), Karsten DUSSE (Rechtsanwalt, Pilot, Autor) ",Marcel REIF,Journalist,Sophia WOLLERSHEIM,DJane,Ildiko VON,Autorin,Karsten DUSSE,"Rechtsanwalt, Pilot, Autor",,,,,,,,
 Markus Lanz 10.03.2016,841,9,27,10.03.2016,070'13,23:55:00 - 01:05:13," 23:55:00 - 01:05:13 070'13 O-Ton Interview Markus LANZ mit den Studiogästen Marianne HARTL (Volksmusikerin, Moderatorin, Marianne & Michael), Michael HARTL (Volksmusiker, Moderator, Marianne & Michael), Benjamin VON STUCKRAD-BARRE (Autor), Hajo SCHUMACHER (Journalist), Frida THURM (Journalistin) ",Marianne HARTL,"Volksmusikerin, Moderatorin, Marianne & Michael",Michael HARTL,"Volksmusiker, Moderator, Marianne & Michael",Benjamin VON,Autor,Hajo SCHUMACHER,Journalist,Frida THURM,Journalistin,,,,,,
 Markus Lanz 15.03.2016,842,9,28,15.03.2016,075'22,23:16:39 - 00:32:01," 23:16:39 - 00:32:01 075'22 O-Ton Interview Markus LANZ mit den Studiogästen Florian SCHROEDER (Kabarettist), Dr. Melanie AMANN (Journalistin), Wolfram WEIMER (Journalist), Claudia MICHELSEN (Schauspielerin), Volker KLÜPFEL (Autor), Michael KOBR (Autor) ",Florian SCHROEDER,Kabarettist,Melanie AMANN,Journalistin,Wolfram WEIMER,Journalist,Claudia MICHELSEN,Schauspielerin,Volker KLÜPFEL,Autor,Michael KOBR,Autor,,,,
 Markus Lanz 16.03.2016,843,9,29,16.03.2016,072'27,00:22:26 - 01:34:53," 00:22:26 - 01:34:53 072'27 O-Ton Interview Markus LANZ mit den Studiogästen Michael MITTERMEIER (Comedian), Alessandra MEYER-WÖLDEN (Model), Hansi MÜLLER (ehem. Fußballprofi), Nico PATSCHINSKI (ehem. Fußballprofi, Bestatter), Wolfram EILENBERGER (Philosoph), Günter-Peter PLOOG (Sportjournalist), ",Michael MITTERMEIER,Comedian,Alessandra MEYER-WÖLDEN,Model,Hansi MÜLLER,ehem. Fußballprofi,Nico PATSCHINSKI,"ehem. Fußballprofi, Bestatter",Wolfram EILENBERGER,Philosoph,Peter PLOOG,Sportjournalist,,,,
 Markus Lanz 17.03.2016,844,9,30,17.03.2016,074'59,23:23:24 - 00:38:23," 23:23:24 - 00:38:23 074'59 O-Ton Interview Markus LANZ mit den Studiogästen Norbert BLÜM (ehem. Politiker, CDU), Albrecht VON LUCKE (Publizist, Politologe), Ingo APPELT (COMEDIAN), Prof. Borwin BANDELOW (Psychiater), Kerstin OTT (Musikerin), Nicholas MÜLLER (Musiker) ",Norbert BLÜM,"ehem. Politiker, CDU",Albrecht VON,"Publizist, Politologe",Ingo APPELT,COMEDIAN,Borwin BANDELOW,Psychiater,Kerstin OTT,Musikerin,Nicholas MÜLLER,Musiker,,,,
 Markus Lanz 22.03.2016,845,9,31,22.03.2016,074'10,23:02:14 - 00:16:24," 23:02:14 - 00:16:24 074'10 O-Ton Interview Markus LANZ mit den Studiogästen Wolfgang BOSBACH (Politiker CDU), Constantin SCHREIBER (Journalist), Rainer WENDT (Vors. Deutsche Polizeigewerkschaft), Asiem EL DIFRAOUI (Politiloge) ",Wolfgang BOSBACH,Politiker CDU,Constantin SCHREIBER,Journalist,Rainer WENDT,Vors. Deutsche Polizeigewerkschaft,Asiem EL,Politiloge,,,,,,,,
 Markus Lanz 23.03.2016,846,9,32,23.03.2016,075'08,23:37:22 - 00:52:30," 23:37:22 - 00:52:30 075'08 O-Ton Interview Markus LANZ mit den Studiogästen Dr. Edmund STOIBER (Politiker), Florian EDER (Journalist), Ulrich TILGNER (Journalist), Ahmad MANSOUR (Autor, Psychologe), Nicolas HENIN (Journalist) ",Edmund STOIBER,Politiker,Florian EDER,Journalist,Ulrich TILGNER,Journalist,Ahmad MANSOUR,"Autor, Psychologe",Nicolas HENIN,Journalist,,,,,,
 Markus Lanz 24.03.2016,847,9,33,24.03.2016,074'49,10:00:00 - 11:14:49," 10:00:00 - 11:14:49 074'49 O-Ton Interview Markus LANZ mit den Studiogästen Eva FIDLER (Krebspatientin), Prof. Bertram GLAß (Arzt",Eva FIDLER,Krebspatientin,,,,,,,,,,,,,,
 Markus Lanz 29.03.2016,848,9,34,29.03.2016,074'37,23:37:19 - 00:51:56," 23:37:19 - 00:51:56 074'37 O-Ton Interview Markus LANZ mit den Studiogästen Michael MARTIN (Abenteurer, Fotograf), Kai PFLAUME (Moderator), Melanie MÜHL (Journalistin, Autorin) und Patricia KELLY (Musikerin) ",Michael MARTIN,"Abenteurer, Fotograf",Kai PFLAUME,Moderator,Melanie MÜHL,"Journalistin, Autorin",Patricia KELLY,Musikerin,,,,,,,,
 Markus Lanz 30.03.2016,849,9,35,30.03.2016,074'25,23:19:28 - 00:33:53," 23:19:28 - 00:33:53 074'25 O-Ton Interview Markus LANZ mit den Studiogästen Dieter LANGENDÖRFER (Kriminalist, ermittelte in der Entführung von Jan Philipp Reemtsma), Heinz STRUNK (Mathias HALFPAPE",Dieter LANGENDÖRFER,"Kriminalist, ermittelte in der Entführung von Jan Philipp Reemtsma",,,,,,,,,,,,,,
 Markus Lanz 31.03.2016,850,9,36,31.03.2016,075'25,10:00:00 - 11:15:25," 10:00:00 - 11:15:25 075'25 O-Ton Interview Markus LANZ mit den Studiogästen Steven GÄTJEN (Moderator), Markus KOCH (Journalist), Simone WENDEL (Dokumentarfilmerin), Wolke HEGENBARTH (Schauspielerin) und Patric HEIZMANN (Fitnesstrainer, Ernährungsberater) ",Steven GÄTJEN,Moderator,Markus KOCH,Journalist,Simone WENDEL,Dokumentarfilmerin,Wolke HEGENBARTH,Schauspielerin,Patric HEIZMANN,"Fitnesstrainer, Ernährungsberater",,,,,,
 Markus Lanz 05.04.2016,851,9,37,05.04.2016,074'49,23:33:51 - 00:48:40," 23:33:51 - 00:48:40 074'49 O-Ton Interview Markus LANZ mit den Studiogästen Wolfgang KUBICKI (Politiker), Dirk ROßMANN (Unternehmer), Peter MAFFAY (Musiker), Elena UHLIG (Schauspielerin), Kaya YANAR (Comedian) ",Wolfgang KUBICKI,Politiker,Dirk ROßMANN,Unternehmer,Peter MAFFAY,Musiker,Elena UHLIG,Schauspielerin,Kaya YANAR,Comedian,,,,,,
 Hans-Dietrich Genscher im Gespräch mit Markus Lanz,,,,05.04.2016,058'36,01:09:10 - 02:07:46," 01:09:10 - 02:07:46 058'36 Im Spätsommer 2015 traf Markus Lanz im Rahmen seiner Dokumentation ""Wieder vereint!"" zur Deutschen Wiedervereinigung Hans-Dietrich Genscher zu einem ausführlichen Interview. Der ehemalige Außenminister und große Europäer gewährt sehr persönliche Einblicke in seine Biografie, seine Jugend, seine Flucht nach Westdeutschland und wie früh er schon vom Gedanken an die Wiedervereinigung geprägt war. Im Gespräch werden auch die großen Schlüsselmomente auf dem spannenden Weg bis zur Prager Botschaft lebendig - nicht ohne die aktuellen Entwicklungen in Europa außer Acht zu lassen. ",,,,,,,,,,,,,,,,
 Markus Lanz 06.04.2016,852,9,38,06.04.2016,072'39,23:47:58 - 01:00:37," 23:47:58 - 01:00:37 072'39 O-Ton Interview Markus LANZ mit den Studiogästen Sebastian KEHL (Ex-Fußballprofi), Jörg WONTORRA (Moderator), Pamela REIF (Fitnessmodel, Instagramstar), Thomas KISTNER (Journalist) und Moritz FÜRSTE (Hockeyprofi) ",Sebastian KEHL,Ex-Fußballprofi,Jörg WONTORRA,Moderator,Pamela REIF,"Fitnessmodel, Instagramstar",Thomas KISTNER,Journalist,Moritz FÜRSTE,Hockeyprofi,,,,,,
 Markus Lanz 07.04.2016,853,9,39,07.04.2016,079'20,23:20:39 - 00:39:59, 23:20:39 - 00:39:59 079'20 O-Ton Interview Markus LANZ mit den Studiogästen Bastian OBERMAYER und Frederik OBERMAIER (beide Journalisten,,,,,,,,,,,,,,,,
 Markus Lanz 12.04.2016,854,9,40,12.04.2016,074'29,23:13:50 - 00:28:19," 23:13:50 - 00:28:19 074'29 O-Ton Interview Markus LANZ mit den Studiogästen Michael OPOCZYNSKI (Journalist), Andreas PETZOLD (Journalist), Uschi GLAS (Schauspielerin), Vanessa MAI (Sängerin) und Johann KÖNIG (Komiker) ",Michael OPOCZYNSKI,Journalist,Andreas PETZOLD,Journalist,Uschi GLAS,Schauspielerin,Vanessa MAI,Sängerin,Johann KÖNIG,Komiker,,,,,,
 Markus Lanz 13.04.2016,855,9,41,13.04.2016,071'05,23:45:39 - 00:56:44," 23:45:39 - 00:56:44 071'05 O-Ton Interview Markus LANZ mit den Studiogästen Michael RUMMENIGGE (Ex-Fußballprofi), Matze KNOP (Comedian), Gerd RUBENBAUER (Sportmoderator), Alena GERBER (Model), Heino FERCH (Schauspieler) und Nils SCHUMANN (Ex-Mittelstreckenläufer) ",Michael RUMMENIGGE,Ex-Fußballprofi,Matze KNOP,Comedian,Gerd RUBENBAUER,Sportmoderator,Alena GERBER,Model,Heino FERCH,Schauspieler,Nils SCHUMANN,Ex-Mittelstreckenläufer,,,,
 Markus Lanz 14.04.2016,856,9,42,14.04.2016,075'23,23:19:05 - 00:34:28," 23:19:05 - 00:34:28 075'23 O-Ton Interview Markus LANZ mit den Studiogästen Gero VON BOEHM (Journalist, Autor), Prof. Christopher CLARK (Historiker), Laura KARASEK (Rechtsanwältin), Hansen HOEPNER (Abenteurer) und Paul HOEPNER (Abenteurer) ",Gero VON,"Journalist, Autor",Christopher CLARK,Historiker,Laura KARASEK,Rechtsanwältin,Hansen HOEPNER,Abenteurer,Paul HOEPNER,Abenteurer,,,,,,
 Markus Lanz 19.04.2016,857,9,43,19.04.2016,071'00,23:44:18 - 00:55:18, 23:44:18 - 00:55:18 071'00 O-Ton Interview Markus LANZ mit den Studiogästen Anna GUDER und Heidi JOUBERT (beide Musikerinnen),Anna GUDER,beide Musikerinnen,Heidi JOUBERT,beide Musikerinnen,,,,,,,,,,,,
