Sendungstitel,FolgenNr,Staffel,Folge,Datum,Dauer,Sendezeit,Gästesubstr,Gast_1,Beschreibung_1,Gast_2,Beschreibung_2,Gast_3,Beschreibung_3,Gast_4,Beschreibung_4,Gast_5,Beschreibung_5,Gast_6,Beschreibung_6,Gast_7,Beschreibung_7,Gast_8,Beschreibung_8
 Markus Lanz 12.11.2015,800,8,114,12.11.2015,074'44,23:18:24 - 00:33:08," 23:18:24 - 00:33:08 074'44 O-Ton Interview Markus LANZ mit den Studiogästen Guido WESTERWELLE (ehem. BMAUSW, FDP), Michael MRONZ (Sportmanager, Ehemann von Guido Westerwelle), Gesine CUKROWSKI (Schauspielerin), Johannes HINRICH VON BORSTEL (Medizinstudent und Autor) ",Guido WESTERWELLE,"ehem. BMAUSW, FDP",Michael MRONZ,"Sportmanager, Ehemann von Guido Westerwelle",Gesine CUKROWSKI,Schauspielerin,Johannes HINRICH,Medizinstudent und Autor,,,,,,,,
 Markus Lanz 15.12.2015,812,8,126,15.12.2015,074'12,10:00:00 - 11:14:12," 10:00:00 - 11:14:12 074'12 O-Ton Interview Markus LANZ mit den Studiogästen Leonard LANSINK (Schauspieler), Thomas HERMANNS (Drehbuchautor, Regisseur und Moderator), Gesa DRECKMANN (Autorin), Hubert WOLF (Kirchenhistoriker), Carsten STORMER (Kriegsreporter) ",Leonard LANSINK,Schauspieler,Thomas HERMANNS,"Drehbuchautor, Regisseur und Moderator",Gesa DRECKMANN,Autorin,Hubert WOLF,Kirchenhistoriker,Carsten STORMER,Kriegsreporter,,,,,,
 Markus Lanz 12.01.2016,815,9,1,12.01.2016,079'00,22:56:00 - 00:15:00," 22:56:00 - 00:15:00 079'00 O-Ton Interview Markus LANZ mit den Studiogästen Wolfgang BOSBACH (MdB CDU), Andre SCHULZ (Kriminalbeamter und Bundesvorsitzender Bund Deutscher Kriminalbeamter), Renan DEMIRKAN (Schauspielerin und Schriftstellerin), Aiman MAZYEK (zugeschaltet aus Berlin, Vorsitzender Zentralrat der Muslime), Mark KELLER (Schauspieler), Justine THIEDE (ihre Mutter ist an Alzheimer erkrankt) ",Wolfgang BOSBACH,MdB CDU,Andre SCHULZ,Kriminalbeamter und Bundesvorsitzender Bund Deutscher Kriminalbeamter,Renan DEMIRKAN,Schauspielerin und Schriftstellerin,Aiman MAZYEK,"zugeschaltet aus Berlin, Vorsitzender Zentralrat der Muslime",Mark KELLER,Schauspieler,Justine THIEDE,ihre Mutter ist an Alzheimer erkrankt,,,,
 Markus Lanz 13.01.2016,816,9,2,13.01.2016,075'05,23:13:18 - 00:28:23," 23:13:18 - 00:28:23 075'05 O-Ton Interview Markus LANZ mit den Studiogästen Leonardo DICAPRIO (Schauspieler), Wolfgang KUBICKI (FDP), Constantin SCHREIBER (Journalist), Leslie MALTON (Schauspielerin), Piet KLOCKE (Kabarettist) ",Leonardo DICAPRIO,Schauspieler,Wolfgang KUBICKI,FDP,Constantin SCHREIBER,Journalist,Leslie MALTON,Schauspielerin,Piet KLOCKE,Kabarettist,,,,,,
 Markus Lanz 14.01.2016,817,9,3,14.01.2016,075'46,10:00:00 - 11:15:46," 10:00:00 - 11:15:46 075'46 O-Ton Interview Markus LANZ mit den Studiogästen Richard David PRECHT (Schriftsteller), Alice SCHWARZER (Publizistin), Nikolaus BLOME (Journalist), Steffen HENSSLER (Koch, Moderator), Monica LIERHAUS (Journalistin), Jacqueline KLÖCKNER (Krankenschwester) ",Richard David PRECHT,Schriftsteller,Alice SCHWARZER,Publizistin,Nikolaus BLOME,Journalist,Steffen HENSSLER,"Koch, Moderator",Monica LIERHAUS,Journalistin,Jacqueline KLÖCKNER,Krankenschwester,,,,
 Markus Lanz 19.01.2016,818,9,4,19.01.2016,074'57,22:44:37 - 23:59:34," 22:44:37 - 23:59:34 074'57 O-Ton Interview Markus LANZ mit den Studiogästen Nariman REINKE (Bundeswehrsoldatin, Tochter marokkanischer Einwanderer), Katrin BUDDE (Spitzenkandidatin SPD bei der Landtagswahl in Sachsen-Anhalt), Axel MILBERG (Schauspieler), Wolfram KONS (Journalist), Bastian PASTEWKA (Schauspieler, Komiker, Drehbuchautor) ",Nariman REINKE,"Bundeswehrsoldatin, Tochter marokkanischer Einwanderer",Katrin BUDDE,Spitzenkandidatin SPD bei der Landtagswahl in Sachsen-Anhalt,Axel MILBERG,Schauspieler,Wolfram KONS,Journalist,Bastian PASTEWKA,"Schauspieler, Komiker, Drehbuchautor",,,,,,
 Markus Lanz 20.01.2016,819,9,5,20.01.2016,075'38,23:17:59 - 00:33:37," 23:17:59 - 00:33:37 075'38 O-Ton Interview Markus LANZ mit den Studiogästen Nils SCHMID (SPD), Zana RAMADANI (Islamkritikerin), Dirk STEFFENS (Tier- und Naturfilmer), Markus MEINZER (Steueranalyst) ",Nils SCHMID,SPD,Zana RAMADANI,Islamkritikerin,Dirk STEFFENS,Tier- und Naturfilmer,Markus MEINZER,Steueranalyst,,,,,,,,
 Markus Lanz 21.01.2016,820,9,6,21.01.2016,075'26,23:19:37 - 00:35:03," 23:19:37 - 00:35:03 075'26 O-Ton Interview Markus LANZ mit den Studiogästen Hans-Olaf HENKEL (ehem. AfD), Hajo SCHUMACHER (Journalist), Wolfram EILENBERG (Philosoph), Walter SITTLER (Schauspieler), Meike WINNEMUTH (Autorin) ",Olaf HENKEL,ehem. AfD,Hajo SCHUMACHER,Journalist,Wolfram EILENBERG,Philosoph,Walter SITTLER,Schauspieler,Meike WINNEMUTH,Autorin,,,,,,
 Markus Lanz 26.01.2016,821,9,7,26.01.2016,075'31,22:45:56 - 00:01:27," 22:45:56 - 00:01:27 075'31 O-Ton Interview Markus LANZ mit den Studiogästen Albrecht VON LUCKE (Publizist, Politologe, Jurist), Rudolf EGG (Psychologe, Kriminologe), Alexander HOLD (Richter, Fernsehrichter), Julia JÜTTNER (Journalistin), Bülent CEYLAN (Comedian) ",Albrecht VON,"Publizist, Politologe, Jurist",Rudolf EGG,"Psychologe, Kriminologe",Alexander HOLD,"Richter, Fernsehrichter",Julia JÜTTNER,Journalistin,Bülent CEYLAN,Comedian,,,,,,
 Markus Lanz 27.01.2016,822,9,8,27.01.2016,074'44,23:16:24 - 00:31:08," 23:16:24 - 00:31:08 074'44 O-Ton Interview Markus LANZ mit den Studiogästen Maria FURTWÄNGLER (Schauspielerin), Sebastian FIEDLER (Kommissar), Horst EVERS (Kabarettist), Manfred LUDOLF (Schrotthändler), Uwe LUDOLF (Schrotthändler) ",Maria FURTWÄNGLER,Schauspielerin,Sebastian FIEDLER,Kommissar,Horst EVERS,Kabarettist,Manfred LUDOLF,Schrotthändler,Uwe LUDOLF,Schrotthändler,,,,,,
