Sendungstitel,FolgenNr,Staffel,Folge,Datum,Dauer,Sendezeit,Gästesubstr,Gast_1,Beschreibung_1,Gast_2,Beschreibung_2,Gast_3,Beschreibung_3,Gast_4,Beschreibung_4,Gast_5,Beschreibung_5,Gast_6,Beschreibung_6,Gast_7,Beschreibung_7,Gast_8,Beschreibung_8,Gast_9,Beschreibung_9,Gast_10,Beschreibung_10,Gast_11,Beschreibung_11,Gast_12,Beschreibung_12,Gast_13,Beschreibung_13,Gast_14,Beschreibung_14,Gast_15,Beschreibung_15,Gast_16,Beschreibung_16,Gast_17,Beschreibung_17,Gast_18,Beschreibung_18,Gast_19,Beschreibung_19,Gast_20,Beschreibung_20,Gast_21,Beschreibung_21
 Markus Lanz 17.07.2008,,,,17.07.2008,059'53,23:18:19 - 00:18:12," 23:18:19 - 00:18:12 059'53 Interview Markus LANZ mit den Studiogästen Alfons SCHUHBECK (Fernsehkoch), Michael OPOCZYNSKI (WISO-Moderator), Michaela EIBEN (erblindete im Alter von 23 Jahren) und Jürgen EIBEN (Ehemann) (O-Ton). ",Alfons SCHUHBECK,Fernsehkoch,Michael OPOCZYNSKI,WISO-Moderator,Michaela EIBEN,erblindete im Alter von 23 Jahren,Jürgen EIBEN,Ehemann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 22.07.2008,,,,22.07.2008,061'53,22:47:45 - 23:49:38," 22:47:45 - 23:49:38 061'53 Interview Markus LANZ mit den Studiogästen Inge NIEDEK, Christian HÄCKL (Wetterexperte), Richard David PRECHT (Schriftsteller), Bernhard STITZ (Polizeibeamter), Julia REHBERG (Juristin) und Karl Josef WALLNER (Mönch im Stift Heiligenkreuz) (O-Ton). ",Inge NIEDEK,Wetterexperte,Christian HÄCKL,Wetterexperte,Richard David PRECHT,Schriftsteller,Bernhard STITZ,Polizeibeamter,Julia REHBERG,Juristin,Karl Josef WALLNER,Mönch im Stift Heiligenkreuz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 24.07.2008,,,,24.07.2008,061'28,23:18:14 - 00:19:42," 23:18:14 - 00:19:42 061'28 Interview Markus LANZ mit den Studiogästen Dieter KÜRTEN (Sportmoderator), Michael BAUER (Servicetester) und Andreas KIELING (Tierfilmer) (O-Ton). ",Dieter KÜRTEN,Sportmoderator,Michael BAUER,Servicetester,Andreas KIELING,Tierfilmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 29.07.2008,,,,29.07.2008,062'05,22:46:02 - 23:48:07," 22:46:02 - 23:48:07 062'05 Interview Markus LANZ mit den Studiogästen Lars REIME (von der PKK entführter Bergsteiger), Petya REIME (Ehefrau), Johannes MALLOW (Sieger bei den deutschen Gedächtnismeisterschaften), Boris Nikolai KONRAD (Drittplatzierter bei den deutschen Gedächtnismeisterschaften), Birgit REHLENDER (Stiftung Warentest), Lars HENTSCHEL (Wassersommelier des Hotels ""Atlantik"") und Andreas C STUDER (Starkoch) (O-Ton). ",Lars REIME,von der PKK entführter Bergsteiger,Petya REIME,Ehefrau,Johannes MALLOW,Sieger bei den deutschen Gedächtnismeisterschaften,Boris Nikolai KONRAD,Drittplatzierter bei den deutschen Gedächtnismeisterschaften,Birgit REHLENDER,Stiftung Warentest,Lars HENTSCHEL,"Wassersommelier des Hotels ""Atlantik""",Andreas C STUDER,Starkoch,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 31.07.2008,,,,31.07.2008,060'18,23:00:24 - 00:00:42," 23:00:24 - 00:00:42 060'18 Interview Markus LANZ mit den Studiogästen Patrick LINDNER (Sänger), Kay P RODEGRA (Anwalt für Reiserecht), Petra BRÖDER (hatte Ärger mit ihrem Hotel), Sybille RADT (unzufriedene Urlauberin) und Ronny ZIESMER (ehem. Turner und ZDF-Reporter bei Olympia) (O-Ton). ",Patrick LINDNER,Sänger,Kay P RODEGRA,Anwalt für Reiserecht,Petra BRÖDER,hatte Ärger mit ihrem Hotel,Sybille RADT,unzufriedene Urlauberin,Ronny ZIESMER,ehem. Turner und ZDF-Reporter bei Olympia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 05.08.2008,,,,05.08.2008,062'19,23:03:55 - 00:06:14," 23:03:55 - 00:06:14 062'19 Interview Markus LANZ mit den Studiogästen Liina MARIUDOTTIR (Schülerin), Maria Solrun SIGURDADOTTIR (Mutter), Knut MÖLLER (Auswander-Experte), Theo KELZ (bekam zwei Hände transplantiert), Christoph HÖHNKE (Arzt), Florian SCHROEDER (Komiker), Antonia VON ROMATOWSKI (Komikerin) und Jörg KNÖR (Komiker) (O-Ton). ",Liina MARIUDOTTIR,Schülerin,Maria Solrun SIGURDADOTTIR,Mutter,Knut MÖLLER,Auswander-Experte,Theo KELZ,bekam zwei Hände transplantiert,Christoph HÖHNKE,Arzt,Florian SCHROEDER,Komiker,Antonia VON,Komikerin,Jörg KNÖR,Komiker,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 07.08.2008,,,,07.08.2008,060'51,22:59:36 - 00:00:27," 22:59:36 - 00:00:27 060'51 Interview Markus LANZ mit den Studiogästen Dieter WEDEL (Regisseur), Walter PLATHE (Schauspieler), Guido CANTZ (Komiker), Robert WENNEKES (Gründer und Ausbilder an der International Butler School), Arved FUCHS (Polarexperte) und Mojib LATIF (Klimaforscher) (O-Ton). ",Dieter WEDEL,Regisseur,Walter PLATHE,Schauspieler,Guido CANTZ,Komiker,Robert WENNEKES,Gründer und Ausbilder an der International Butler School,Arved FUCHS,Polarexperte,Mojib LATIF,Klimaforscher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 12.08.2008,,,,12.08.2008,062'49,22:50:04 - 23:52:53," 22:50:04 - 23:52:53 062'49 Interview Markus LANZ mit den Studiogästen Hannes JAENICKE (Schauspieler), Maik SCHAFFER (Orang-Utan-Rettungsorganisation Borneo Orangutan Survival Foundation), Frank PLASBERG (Moderator), Phillip WEHNHARD (Schüler), Konstantin WEHNHARD (Schüler) und Andreas ENGLISCH (Papst-Experte) (O-Ton). ",Hannes JAENICKE,Schauspieler,Maik SCHAFFER,Orang-Utan-Rettungsorganisation Borneo Orangutan Survival Foundation,Frank PLASBERG,Moderator,Phillip WEHNHARD,Schüler,Konstantin WEHNHARD,Schüler,Andreas ENGLISCH,Papst-Experte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 14.08.2008,,,,14.08.2008,061'45,23:01:23 - 00:03:08," 23:01:23 - 00:03:08 061'45 Interview Markus LANZ mit den Studiogästen Esther SCHWEINS (Schauspielerin), Dieter MOOR (Fernsehmoderator, betreibt bei Berlin einen Bio-Bauernhof), Birgit REHLENDER (Lebensmittelchemikerin), Aytekin YILMAZ (ertrank beinahe am Timmendorfer Strand), Emre YILMAZ (Sohn), Klaus WILKENS (Präsident der DLRG), Rolf LÜKE (Organisation ""blausand.de"") und Markus BENNEMANN (Journalist) (O-Ton). ",Esther SCHWEINS,Schauspielerin,Dieter MOOR,"Fernsehmoderator, betreibt bei Berlin einen Bio-Bauernhof",Birgit REHLENDER,Lebensmittelchemikerin,Aytekin YILMAZ,ertrank beinahe am Timmendorfer Strand,Emre YILMAZ,Sohn,Klaus WILKENS,Präsident der DLRG,Rolf LÜKE,"Organisation ""blausand.de""",Markus BENNEMANN,Journalist,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 19.08.2008,,,,19.08.2008,063'02,22:46:21 - 23:49:23," 22:46:21 - 23:49:23 063'02 Interview Markus LANZ mit den Studiogästen Johann LAFER (Fernsehkoch), Steffen HENSSLER (Fernsehkoch), Alexander HERRMANN (Fernsehkoch) und Alfons SCHUHBECK (Fernsehkoch) und Simon KEHRER (Bergsteiger). ",Johann LAFER,Fernsehkoch,Steffen HENSSLER,Fernsehkoch,Alexander HERRMANN,Fernsehkoch,Alfons SCHUHBECK,Fernsehkoch,Simon KEHRER,Bergsteiger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 21.08.2008,,,,21.08.2008,061'45,23:00:42 - 00:02:27," 23:00:42 - 00:02:27 061'45 Interview Markus LANZ mit den Studiogästen Gunther TIERSCH (Meteorologe), Peter HARTMANN (",Gunther TIERSCH,Meteorologe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 26.08.2008,,,,26.08.2008,070'04,22:44:56 - 23:55:00," 22:44:56 - 23:55:00 070'04 Interview Markus LANZ mit den Studiogästen Kristin SCHMOOCK, Solvejg SCHMOOCK und Maren SCHMOOCK (Geschwister pflegten krebskranke Mutter bis zum Tod), Britta STEFFEN (Schwimmerin, Olympiasiegerin 2008), Hinrich ROMEIKE (Vielseitigkeitsreiter, Olympiasieger 2008), Bastian SICK (Bestsellerautor ""Der Dativ ist dem Genitiv sein Tod""), Wolf SCHNEIDER (Sprachkritiker), Gayle TUFTS (Comedian) und Sulaiman MASOMI (Sprachakrobat) (O-Ton). ",Kristin SCHMOOCK,Geschwister pflegten krebskranke Mutter bis zum Tod,Solvejg SCHMOOCK,Geschwister pflegten krebskranke Mutter bis zum Tod,Maren SCHMOOCK,Geschwister pflegten krebskranke Mutter bis zum Tod,Britta STEFFEN,"Schwimmerin, Olympiasiegerin 2008",Hinrich ROMEIKE,"Vielseitigkeitsreiter, Olympiasieger 2008",Bastian SICK,"Bestsellerautor ""Der Dativ ist dem Genitiv sein Tod""",Wolf SCHNEIDER,Sprachkritiker,Gayle TUFTS,Comedian,Sulaiman MASOMI,Sprachakrobat,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 28.08.2008,,,,28.08.2008,062'36,23:16:57 - 00:19:33," 23:16:57 - 00:19:33 062'36 Interview Markus LANZ mit den Studiogästen Bettina BÖTTINGER (Moderatorin), Martin RÜTTER (Hundetrainer), Oswalt KOLLE (Aufklärungsexperte), Kurt STARKE (Sexualwissenschaftler), Angela FENSCH (ehem. DDR-Aktmodel), Ruth GASSMANN (Schauspielerin), Björn HOPPMANN (13-jähriger Fastblinder), Iris HOPPMANN (Mutter von Björn), Birgit LORENZ (Augenärztin), Taime KUTTIG (bester Freund von Björn) und Andreas KORN (Moderator) (O-Ton). ",Bettina BÖTTINGER,Moderatorin,Martin RÜTTER,Hundetrainer,Oswalt KOLLE,Aufklärungsexperte,Kurt STARKE,Sexualwissenschaftler,Angela FENSCH,ehem. DDR-Aktmodel,Ruth GASSMANN,Schauspielerin,Björn HOPPMANN,13-jähriger Fastblinder,Iris HOPPMANN,Mutter von Björn,Birgit LORENZ,Augenärztin,Taime KUTTIG,bester Freund von Björn,Andreas KORN,Moderator,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 02.09.2008,,,,02.09.2008,068'58,22:45:22 - 23:54:20," 22:45:22 - 23:54:20 068'58 Interview Markus LANZ mit den Studiogästen Bernhard HOECKER (Comedian), Peter NOTTMEIER (Comedian), Martina HILL (Comedian), Eckart VON HIRSCHHAUSEN (Arzt und Kabarettist), Robert ATZORN (Schauspieler) und Viktoria TAPP (Autorin von ""Zusammen besiegen wir den Alkohol"") (O-Ton). ",Bernhard HOECKER,Comedian,Peter NOTTMEIER,Comedian,Martina HILL,Comedian,Eckart VON,Arzt und Kabarettist,Robert ATZORN,Schauspieler,Viktoria TAPP,"Autorin von ""Zusammen besiegen wir den Alkohol""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 03.09.2008,,,,03.09.2008,061'27,23:19:40 - 00:21:07," 23:19:40 - 00:21:07 061'27 Interview Markus LANZ mit den Studiogästen Dieter HAARHAUS (Mediziner, Autor), Susanne FRÖHLICH (Autorin), Reinhold BECKMANN (Moderator), Renate HONG (traf ihren nordkoreanischen Mann nach beinahe 50 Jahren wieder), Uwe HONG (Sohn) und Peter HONG (Sohn) (O-Ton). ",Dieter HAARHAUS,"Mediziner, Autor",Susanne FRÖHLICH,Autorin,Reinhold BECKMANN,Moderator,Renate HONG,traf ihren nordkoreanischen Mann nach beinahe 50 Jahren wieder,Uwe HONG,Sohn,Peter HONG,Sohn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 04.09.2008,,,,04.09.2008,062'29,23:18:24 - 00:20:53," 23:18:24 - 00:20:53 062'29 Interview Markus LANZ mit den Studiogästen Tim MÄLZER (Fernsehkoch), Manfred und Jürgen CHARCHULLA (Surf-Vizeweltmeister im Rentenalter) und Paul POTTS (Tenor) (O-Ton)",Tim MÄLZER,Fernsehkoch,Jürgen CHARCHULLA,Surf-Vizeweltmeister im Rentenalter,Paul POTTS,Tenor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz daheim: Mein Advent in Südtirol,,,,14.12.2008,,," Markus Lanz präsentiert die Sendung ""Markus Lanz daheim: Mein Advent in Südtirol"". Für Markus Lanz ist es eine besonders große Ehre, gemeinsam mit seinem Freund Horst Lichter, seine Heimat Südtirol präsentieren zu dürfen. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 16.06.2009,,,,16.06.2009,057'22,22:49:49 - 23:47:11," 22:49:49 - 23:47:11 057'22 Interview Markus LANZ mit den Studiogästen Julia REHBERG (Verbraucherzentrale Hamburg), Bernhard STITZ (Polizist), Waltraud ZÖLLNER (Rentnerin), Thomas PEH (ehem. Veranstalter von Kaffeefahrten) und Arnes PETRICK (Zollexperte) (O-Ton). ",Julia REHBERG,Verbraucherzentrale Hamburg,Bernhard STITZ,Polizist,Waltraud ZÖLLNER,Rentnerin,Thomas PEH,ehem. Veranstalter von Kaffeefahrten,Arnes PETRICK,Zollexperte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 17.06.2009,,,,17.06.2009,064'44,23:17:50 - 00:22:34," 23:17:50 - 00:22:34 064'44 Interview Markus LANZ mit den Studiogästen Verona POOTH (Werbeikone), Nele KRÜGER (leidet an einer seltenen Blutkrankheit), Fehmke KRÜGER (Mutter), Arnulf PEKRUN (behandelnder Arzt), Claudia RUTT (Geschäftsführerin der Deutschen Knochenmarkspenderdatei, DKMS), Antonia KRÜGER (litt an Leukämie), Sabine KRÜGER (Mutter), Magdalena STEINKEMPER (Spenderin), Udo VETTER (Fachanwalt für Strafrecht), Dirk WAASEN (Chefredakteur der Fachzeitschrift ""Connect""), Dennis TAMS (Schüler) und Miriam BACHMANN (Fachärztin für Kinderpsychiatrie und Jugendpsychiatrie) (O-Ton). ",Verona POOTH,Werbeikone,Nele KRÜGER,leidet an einer seltenen Blutkrankheit,Fehmke KRÜGER,Mutter,Arnulf PEKRUN,behandelnder Arzt,Claudia RUTT,"Geschäftsführerin der Deutschen Knochenmarkspenderdatei, DKMS",Antonia KRÜGER,litt an Leukämie,Sabine KRÜGER,Mutter,Magdalena STEINKEMPER,Spenderin,Udo VETTER,Fachanwalt für Strafrecht,Dirk WAASEN,"Chefredakteur der Fachzeitschrift ""Connect""",Dennis TAMS,Schüler,Miriam BACHMANN,Fachärztin für Kinderpsychiatrie und Jugendpsychiatrie,,,,,,,,,,,,,,,,,,
 Markus Lanz 18.06.2009,,,,18.06.2009,065'06,23:22:44 - 00:27:50," 23:22:44 - 00:27:50 065'06 Interview Markus LANZ mit den Studiogästen Oliver WELKE (Comedian), Martin SONNEBORN (Comedian), Petra BUBERT (verschuldete Millionärin), Hans Joachim BUBERT (verschuldeter Millionär), Klaus SATTLER (Pressesprecher Lotto Baden-Württemberg), Steffen HENSSLER (Fernsehkoch), Silke SCHWARTAU (Ernäherungsexpertin Verbraucherzentrale Hamburg) und Christoph ZIMMERMANN (Fischereibiologe Deutsches Institut für Ostseefischerei) (O-Ton). ",Oliver WELKE,Comedian,Martin SONNEBORN,Comedian,Petra BUBERT,verschuldete Millionärin,Hans Joachim BUBERT,verschuldeter Millionär,Klaus SATTLER,Pressesprecher Lotto Baden-Württemberg,Steffen HENSSLER,Fernsehkoch,Silke SCHWARTAU,Ernäherungsexpertin Verbraucherzentrale Hamburg,Christoph ZIMMERMANN,Fischereibiologe Deutsches Institut für Ostseefischerei,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 23.06.2009,,,,23.06.2009,074'34,23:41:11 - 00:55:45," 23:41:11 - 00:55:45 074'34 Interview Markus LANZ mit den Studiogästen Uschi GLAS (Schauspielerin, Botschafterin für SOS-Kinderdörfer), Christine CZERMAK (SOS-Kinderdorfmutter), Nicole GEIGER (wuchs in einem SOS-Kinderdorf auf), Kay VORWERK (SOS-Kinderdorf-Geschäftsführer), Amir HALLOUANE (Grillunfall-Opfer), Angelika HALLOUANE (Mutter), Adelheid GOTTWALD (Gründerin ""Paulinchen-Initiative für brandverletzte Kinder e.V.""), Martin SCHNEIDER (Feuerwehrmann), Katja SAALFRANK (Diplompädagogin), Jan Uwe ROGGE (Familienberater), Andre STERN (besuchte nie eine Schule), und Jörg KNÖR (Comedian) (O-Ton). ",Uschi GLAS,"Schauspielerin, Botschafterin für SOS-Kinderdörfer",Christine CZERMAK,SOS-Kinderdorfmutter,Nicole GEIGER,wuchs in einem SOS-Kinderdorf auf,Kay VORWERK,SOS-Kinderdorf-Geschäftsführer,Amir HALLOUANE,Grillunfall-Opfer,Angelika HALLOUANE,Mutter,Adelheid GOTTWALD,"Gründerin ""Paulinchen-Initiative für brandverletzte Kinder e.V.""",Martin SCHNEIDER,Feuerwehrmann,Katja SAALFRANK,Diplompädagogin,Jan Uwe ROGGE,Familienberater,Andre STERN,besuchte nie eine Schule,Jörg KNÖR,Comedian,,,,,,,,,,,,,,,,,,
 Markus Lanz 24.06.2009,,,,24.06.2009,064'54,23:17:27 - 00:22:21," 23:17:27 - 00:22:21 064'54 Interview Markus LANZ mit den Studiogästen Inge NIEDECK (Meteorologin, ZDF), Sven PLÖGER (Meteorologe, ARD), Christian HÄCKL (Meteorologe, RTL), Hans BOES (Landwirt, Wetterbauer, SWR), Guido BERENS (lag zwei Jahre im Wachkoma), Frank HEMME (Pfleger), Vera JARON (behandelnde Ärztin), Charlotte GERLACH (Rentnerin), Martin PLOCH (Kriminalhauptkommissar) und Michael DIETZ (seine Mutter fiel auf den ""Enkeltrick"" herein) (O-Ton). Schaltgespräch LANZ mit Rudi CERNE zu Betrügern, die mit ""Enkeltrick"" agieren (Moderator ""Aktenzeichen XY ungelöst"" (O-Ton). ",Inge NIEDECK,"Meteorologin, ZDF",Sven PLÖGER,"Meteorologe, ARD",Christian HÄCKL,"Meteorologe, RTL",Hans BOES,"Landwirt, Wetterbauer, SWR",Guido BERENS,lag zwei Jahre im Wachkoma,Frank HEMME,Pfleger,Vera JARON,behandelnde Ärztin,Charlotte GERLACH,Rentnerin,Martin PLOCH,Kriminalhauptkommissar,Michael DIETZ,"seine Mutter fiel auf den ""Enkeltrick"" herein",Schaltgespräch LANZ,O-Ton,Rudi CERNE,O-Ton,Aktenzeichen XY,O-Ton,,,,,,,,,,,,,,,,
 Markus Lanz 25.06.2009,,,,25.06.2009,064'25,23:16:21 - 00:20:46," 23:16:21 - 00:20:46 064'25 Interview Markus LANZ mit den Studiogästen Sara NURU (Model), Götz ALSMANN (Entertainer), Peyman AMIN (Juror bei ""Germany's Next Topmodel), Omid MOUSSAVI-AMIN (leidet am Down-Syndrom) und Christoph DRÖSSER (Journalist) (O-Ton). ",Sara NURU,Model,Götz ALSMANN,Entertainer,Peyman AMIN,"Juror bei ""Germany's Next Topmodel",Omid MOUSSAVI-AMIN,leidet am Down-Syndrom,Christoph DRÖSSER,Journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 30.06.2009,,,,30.06.2009,075'53,23:16:11 - 00:32:04," 23:16:11 - 00:32:04 075'53 Interview Markus LANZ mit den Studiogästen Peter HAHNE (Journalist), Jürgen HARKSEN (ehem. Hochstapler), Manfred CHARCHULLA (Surfer), Jürgen CHARCHULLA (Surfer), Guido CANTZ (Komiker), Hella HANSEN (Öko-Test-Redakteurin), Matthias WOLFSCHMIDT (stellv. Geschäftsführer ""foodwatch"") und Arno DOPYCHAI (Verband Deutscher Mineralbrunnen e.V) (O-Ton). ",Peter HAHNE,Journalist,Jürgen HARKSEN,ehem. Hochstapler,Manfred CHARCHULLA,Surfer,Jürgen CHARCHULLA,Surfer,Guido CANTZ,Komiker,Hella HANSEN,Öko-Test-Redakteurin,Matthias WOLFSCHMIDT,"stellv. Geschäftsführer ""foodwatch""",Arno DOPYCHAI,Verband Deutscher Mineralbrunnen e.V,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 01.07.2009,,,,01.07.2009,065'05,23:11:36 - 00:16:41," 23:11:36 - 00:16:41 065'05 Interview Markus LANZ mit den Studiogästen Michael SCHÖTTLER (Kriminalhauptkommissar), Martin SCHULZ (Tischler), Liane WIEGELMANN (ehem. Sängerin), Constanze KLEIS (Journalistin, Autorin) und Michael KESSLER (Comedian) (O-Ton). ",Michael SCHÖTTLER,Kriminalhauptkommissar,Martin SCHULZ,Tischler,Liane WIEGELMANN,ehem. Sängerin,Constanze KLEIS,"Journalistin, Autorin",Michael KESSLER,Comedian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 02.07.2009,,,,02.07.2009,064'45,23:31:26 - 00:36:11," 23:31:26 - 00:36:11 064'45 Interview Markus LANZ mit den Studiogästen Amelie FRIED (Autorin), Ulrich WICKERT (Moderator), Klaus WILDBOLZ (Schauspieler), Nadine VON VÖHREN (Lebensgefährtin von Klaus Wildbolz), Farid (Magier) und Ully LOOP (Magic Entertainer) (O-Ton). ",Amelie FRIED,Autorin,Ulrich WICKERT,Moderator,Klaus WILDBOLZ,Schauspieler,Nadine VON,Lebensgefährtin von Klaus Wildbolz,Ully LOOP,Magic Entertainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 07.07.2009,,,,07.07.2009,074'09,23:32:24 - 00:46:33," 23:32:24 - 00:46:33 074'09 Interview Markus LANZ mit den Studiogästen Dirk STEFFENS (Moderator), Martin GEIER (Mückenexperte, Biologe), Hans Peter BRIX (""Stiftung Warentest""), Marianne NECKE (fand nach 80 Jahren ihre Schwester wieder), Ilse Ruth HOLZFUSS (Schwester), Bernd STEIN (Enkel), Michael FLÜGGER (Tierazt) und Juliane KOEPCKE (",Dirk STEFFENS,Moderator,Martin GEIER,"Mückenexperte, Biologe",Hans Peter BRIX,"""Stiftung Warentest""",Marianne NECKE,fand nach 80 Jahren ihre Schwester wieder,Ilse Ruth HOLZFUSS,Schwester,Bernd STEIN,Enkel,Michael FLÜGGER,Tierazt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 08.07.2009,,,,08.07.2009,065'08,23:29:52 - 00:35:00," 23:29:52 - 00:35:00 065'08 Interview Markus LANZ mit den Studiogästen Franziska VAN ALMSICK (Schwimmidol), Janine SCHMEIL (lernt Schwimmen), Tanja SCHMEIL (Mutter), Norbert BRACKMANN (DLRG), Gert BARTMANN (Leiter des Amts für Sport und Gesundheitsförderung), Vince EBERT (Diplom-Physiker, Kabarettist), Werner GRUBER (Physik-Dozent Universität Wien) und Cornelia POLETTO (Sterneköchin) (O-Ton). ",Franziska VAN,Schwimmidol,Janine SCHMEIL,lernt Schwimmen,Tanja SCHMEIL,Mutter,Norbert BRACKMANN,DLRG,Gert BARTMANN,Leiter des Amts für Sport und Gesundheitsförderung,Vince EBERT,"Diplom-Physiker, Kabarettist",Werner GRUBER,Physik-Dozent Universität Wien,Cornelia POLETTO,Sterneköchin,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 09.07.2009,,,,09.07.2009,065'12,23:02:09 - 00:07:21," 23:02:09 - 00:07:21 065'12 Interview Markus LANZ mit den Studiogästen Florian SCHROEDER (Kabarettist), Benedict EISENBERG (Bruder von verstorbenem Tennessee Eisenberg), Mustapha CELEM (Vater), Thomas TESSERAUX (Rechtsanwalt der Familie) und Familie LECCE (10-köpfige Familie) (O-Ton). ",Florian SCHROEDER,Kabarettist,Benedict EISENBERG,Bruder von verstorbenem Tennessee Eisenberg,Mustapha CELEM,Vater,Thomas TESSERAUX,Rechtsanwalt der Familie,Familie LECCE,10-köpfige Familie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 14.07.2009,,,,14.07.2009,075'54,22:46:27 - 00:02:21," 22:46:27 - 00:02:21 075'54 Interview Markus LANZ mit den Studiogästen Eckhart PAHLKE (Mietrechtsexperte), Ranga YOGESHWAR (Moderator), Michael PRANG (Arzt), Michael ROTH (ehem. Handballnationalspieler, litt an Prostatakrebs), dessen Zwillingsbruder Ulrich ROTH (ehem. Handballnationalspieler, leidet an Prostatakrebs) und Hartwig HULAND (Arzt) (O-Ton). ",Eckhart PAHLKE,Mietrechtsexperte,Ranga YOGESHWAR,Moderator,Michael PRANG,Arzt,Michael ROTH,"ehem. Handballnationalspieler, litt an Prostatakrebs",Zwillingsbruder Ulrich ROTH,"ehem. Handballnationalspieler, leidet an Prostatakrebs",Hartwig HULAND,Arzt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 15.07.2009,,,,15.07.2009,065'14,23:16:10 - 00:21:24," 23:16:10 - 00:21:24 065'14 Interview Markus LANZ mit den Studiogästen Prof. Dr. Jürgen ZULLEY (Schlafforscher), Mary ROOS (Schlagersängerin), Kathrin KÜHN und Christian ROSSKAMP (Deutschlands jüngste Eltern), Daniela WEINERT (wurde mit 12 Jahren schwanger), Susanne von BRONK (Lehrerin), Karin KLUGE-DAKI (Single), Juliane LUTZ (Autorin) und Birgit NIPKAU (Autorin) (O-Ton)",Jürgen ZULLEY,Schlafforscher,Mary ROOS,Schlagersängerin,Kathrin KÜHN,Deutschlands jüngste Eltern,Christian ROSSKAMP,Deutschlands jüngste Eltern,Daniela WEINERT,wurde mit 12 Jahren schwanger,Karin KLUGE-DAKI,Single,Juliane LUTZ,Autorin,Birgit NIPKAU,Autorin,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 16.07.2009,,,,16.07.2009,065'39,22:59:24 - 00:05:03," 22:59:24 - 00:05:03 065'39 Interview Markuks LANZ mit den Studiogästen Elmar MAI (ZDF-Gartenexperte), Ralph MORGENSTERN (Moderator), Pirkko PEITZ (führt Nachbarschaftsstreit), Thorsten PEITZ (führt Nachbarschaftsstreit), Michael OPOCZYNSKI (ZDF-Moderator), Dirk MÜLLER (Börsenhändler) und Ingeborg MOOTZ (Börsenexpertin) (O-Ton). ",Elmar MAI,ZDF-Gartenexperte,Ralph MORGENSTERN,Moderator,Pirkko PEITZ,führt Nachbarschaftsstreit,Thorsten PEITZ,führt Nachbarschaftsstreit,Michael OPOCZYNSKI,ZDF-Moderator,Dirk MÜLLER,Börsenhändler,Ingeborg MOOTZ,Börsenexpertin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
