Sendungstitel,Staffel,Folge,FolgenNr,Datum,RawDate
Markus Lanz 17.12.2020,13.0,137.0,1471.0,17.12.2020,
Markus Lanz 16.12.2020,13.0,136.0,1470.0,16.12.2020,
Markus Lanz 15.12.2020,13.0,135.0,1469.0,15.12.2020,
Markus Lanz 10.12.2020,13.0,134.0,1468.0,10.12.2020,
Markus Lanz 09.12.2020,13.0,133.0,1467.0,09.12.2020,
Markus Lanz 08.12.2020,13.0,132.0,1466.0,08.12.2020,
Markus Lanz 03.12.2020,13.0,131.0,1465.0,03.12.2020,
Markus Lanz 02.12.2020,13.0,130.0,1464.0,02.12.2020,
Markus Lanz 01.12.2020,13.0,129.0,1463.0,01.12.2020,
Markus Lanz 26.11.2020,13.0,128.0,1462.0,26.11.2020,
Markus Lanz - Das Jahr 2020,,,,25.11.2020,
Markus Lanz 24.11.2020,13.0,127.0,1461.0,24.11.2020,
Markus Lanz 19.11.2020,13.0,126.0,1460.0,19.11.2020,
Markus Lanz 18.11.2020,13.0,125.0,1459.0,18.11.2020,
Markus Lanz 17.11.2020,13.0,124.0,1458.0,17.11.2020,
Markus Lanz 12.11.2020,13.0,123.0,1457.0,12.11.2020,
Markus Lanz 11.11.2020,13.0,122.0,1456.0,11.11.2020,
Markus Lanz 10.11.2020,13.0,121.0,1455.0,10.11.2020,
Markus Lanz 05.11.2020,13.0,120.0,1454.0,05.11.2020,
Markus Lanz 04.11.2020,13.0,119.0,1453.0,04.11.2020,
Markus Lanz 03.11.2020,13.0,118.0,1452.0,03.11.2020,
Markus Lanz 29.10.2020,13.0,117.0,1451.0,29.10.2020,
Markus Lanz 28.10.2020,13.0,116.0,1450.0,28.10.2020,
Markus Lanz 27.10.2020,13.0,115.0,1449.0,27.10.2020,
Markus Lanz 22.10.2020,13.0,114.0,1448.0,22.10.2020,
Markus Lanz 21.10.2020,13.0,113.0,1447.0,21.10.2020,
Markus Lanz 20.10.2020,13.0,112.0,1446.0,20.10.2020,
Markus Lanz 15.10.2020,13.0,111.0,1445.0,15.10.2020,
Markus Lanz 14.10.2020,13.0,110.0,1444.0,14.10.2020,
Markus Lanz 13.10.2020,13.0,109.0,1443.0,13.10.2020,
Markus Lanz 08.10.2020,13.0,108.0,1442.0,08.10.2020,
Markus Lanz 07.10.2020,13.0,107.0,1441.0,07.10.2020,
Markus Lanz 06.10.2020,13.0,106.0,1440.0,06.10.2020,
Markus Lanz 01.10.2020,13.0,105.0,1439.0,01.10.2020,
Markus Lanz 30.09.2020,13.0,104.0,1438.0,30.09.2020,
Markus Lanz 29.09.2020,13.0,103.0,1437.0,29.09.2020,
Markus Lanz 24.09.2020,13.0,102.0,1436.0,24.09.2020,
Markus Lanz 23.09.2020,13.0,101.0,1435.0,23.09.2020,
Markus Lanz 22.09.2020,13.0,100.0,1434.0,22.09.2020,
Markus Lanz 17.09.2020,13.0,99.0,1433.0,17.09.2020,
Markus Lanz 16.09.2020,13.0,98.0,1432.0,16.09.2020,
Markus Lanz 15.09.2020,13.0,97.0,1431.0,15.09.2020,
Markus Lanz 10.09.2020,13.0,96.0,1430.0,10.09.2020,
Markus Lanz 09.09.2020,13.0,95.0,1429.0,09.09.2020,
Markus Lanz 08.09.2020,13.0,94.0,1428.0,08.09.2020,
