Sendungstitel,season,Staffel,Folge,FolgenNr,Publikationsdatum,Dauer,Infos,Gast_1,Gast_2,Gast_3,Gast_4,Gast_5,Gast_6,Gast_7,Gast_8,Gast_9,Gast_10,Gast_11,Gast_12,Gast_13,Gast_14,Gast_15,Gast_16,Gast_17,Gast_18,Gast_19,Gast_20,Gast_21,instance_of,part_of_series,genre,presenter,original_broadcaster,country_of_origin,original_language_of_film_or_TV_show
Markus Lanz 08.07.2008,"Markus Lanz, Staffel 1",,,,08.07.2008,060'55,"22:46:42 - 23:47:37 060'55 Interview Markus LANZ mit den Studiogästen Peter HAHNE (Journalist), Barbara SCHUBERT (Ärztin), Nicola BARDOLA (Literaturkritiker), Lothar HINTZE (ehem. Gefangener der Farc) und Rosy HINTZE (Ehefrau) (O-Ton).",Peter HAHNE,Barbara SCHUBERT,Nicola BARDOLA,Lothar HINTZE,Rosy HINTZE,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 10.07.2008,"Markus Lanz, Staffel 1",,,,10.07.2008,060'20,"23:24:13 - 00:24:33 060'20 Interview Markus LANZ mit den Studiogästen Paul KUHN (Musiker), Mario BARTH (Comedian), Volker STEINKRAUS (Arzt), Dagmar ELSHOLZ (litt an Hautkrebs) und Inge WOLFF (Expertin für Etikette und Umgangsformen) (O-Ton).",Paul KUHN,Mario BARTH,Volker STEINKRAUS,Dagmar ELSHOLZ,Inge WOLFF,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 15.07.2008,"Markus Lanz, Staffel 1",,,,15.07.2008,062'49,"22:44:36 - 23:47:25 062'49 Interview Markus LANZ mit den Studiogästen Reinhold MESSNER (Extremsportler), Michael EPP (Teilnehmer an Berglauf auf Zugspitze), Oliver GEISSELHART (Mentaltrainer), Henning SCHEICH (Neurobiologe) und Giti RAUCH (Besitzerin von Kater, der mit der Post verschickt wurde) (O-Ton).",Reinhold MESSNER,Michael EPP,Oliver GEISSELHART,Henning SCHEICH,Giti RAUCH,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 17.07.2008,"Markus Lanz, Staffel 1",,,,17.07.2008,059'53,"23:18:19 - 00:18:12 059'53 Interview Markus LANZ mit den Studiogästen Alfons SCHUHBECK (Fernsehkoch), Michael OPOCZYNSKI (WISO-Moderator), Michaela EIBEN (erblindete im Alter von 23 Jahren) und Jürgen EIBEN (Ehemann) (O-Ton).",Alfons SCHUHBECK,Michael OPOCZYNSKI,Michaela EIBEN,Jürgen EIBEN,,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 22.07.2008,"Markus Lanz, Staffel 1",,,,22.07.2008,061'53,"22:47:45 - 23:49:38 061'53 Interview Markus LANZ mit den Studiogästen Inge NIEDEK, Christian HÄCKL (Wetterexperte), Richard David PRECHT (Schriftsteller), Bernhard STITZ (Polizeibeamter), Julia REHBERG (Juristin) und Karl Josef WALLNER (Mönch im Stift Heiligenkreuz) (O-Ton).",Inge NIEDEK,Christian HÄCKL,Richard David PRECHT,Bernhard STITZ,Julia REHBERG,Karl Josef WALLNER,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 24.07.2008,"Markus Lanz, Staffel 1",,,,24.07.2008,061'28,"23:18:14 - 00:19:42 061'28 Interview Markus LANZ mit den Studiogästen Dieter KÜRTEN (Sportmoderator), Michael BAUER (Servicetester) und Andreas KIELING (Tierfilmer) (O-Ton).",Dieter KÜRTEN,Michael BAUER,Andreas KIELING,,,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 29.07.2008,"Markus Lanz, Staffel 1",,,,29.07.2008,062'05,"22:46:02 - 23:48:07 062'05 Interview Markus LANZ mit den Studiogästen Lars REIME (von der PKK entführter Bergsteiger), Petya REIME (Ehefrau), Johannes MALLOW (Sieger bei den deutschen Gedächtnismeisterschaften), Boris Nikolai KONRAD (Drittplatzierter bei den deutschen Gedächtnismeisterschaften), Birgit REHLENDER (Stiftung Warentest), Lars HENTSCHEL (Wassersommelier des Hotels ""Atlantik"") und Andreas C STUDER (Starkoch) (O-Ton).",Lars REIME,Petya REIME,Johannes MALLOW,Boris Nikolai KONRAD,Birgit REHLENDER,Lars HENTSCHEL,Andreas C STUDER,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 31.07.2008,"Markus Lanz, Staffel 1",,,,31.07.2008,060'18,"23:00:24 - 00:00:42 060'18 Interview Markus LANZ mit den Studiogästen Patrick LINDNER (Sänger), Kay P RODEGRA (Anwalt für Reiserecht), Petra BRÖDER (hatte Ärger mit ihrem Hotel), Sybille RADT (unzufriedene Urlauberin) und Ronny ZIESMER (ehem. Turner und ZDF-Reporter bei Olympia) (O-Ton).",Patrick LINDNER,Kay P RODEGRA,Petra BRÖDER,Sybille RADT,Ronny ZIESMER,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 05.08.2008,"Markus Lanz, Staffel 1",,,,05.08.2008,062'19,"23:03:55 - 00:06:14 062'19 Interview Markus LANZ mit den Studiogästen Liina MARIUDOTTIR (Schülerin), Maria Solrun SIGURDADOTTIR (Mutter), Knut MÖLLER (Auswander-Experte), Theo KELZ (bekam zwei Hände transplantiert), Christoph HÖHNKE (Arzt), Florian SCHROEDER (Komiker), Antonia VON ROMATOWSKI (Komikerin) und Jörg KNÖR (Komiker) (O-Ton).",Liina MARIUDOTTIR,Maria Solrun SIGURDADOTTIR,Knut MÖLLER,Theo KELZ,Christoph HÖHNKE,Florian SCHROEDER,Antonia VON,Jörg KNÖR,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 07.08.2008,"Markus Lanz, Staffel 1",,,,07.08.2008,060'51,"22:59:36 - 00:00:27 060'51 Interview Markus LANZ mit den Studiogästen Dieter WEDEL (Regisseur), Walter PLATHE (Schauspieler), Guido CANTZ (Komiker), Robert WENNEKES (Gründer und Ausbilder an der International Butler School), Arved FUCHS (Polarexperte) und Mojib LATIF (Klimaforscher) (O-Ton).",Dieter WEDEL,Walter PLATHE,Guido CANTZ,Robert WENNEKES,Arved FUCHS,Mojib LATIF,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
