Sendungstitel,season,Staffel,Folge,FolgenNr,Publikationsdatum,Dauer,Infos,Gast_1,Gast_2,Gast_3,Gast_4,Gast_5,Gast_6,Gast_7,Gast_8,Gast_9,Gast_10,Gast_11,Gast_12,Gast_13,Gast_14,Gast_15,Gast_16,Gast_17,Gast_18,Gast_19,Gast_20,Gast_21,instance_of,part_of_series,genre,presenter,original_broadcaster,country_of_origin,original_language_of_film_or_TV_show
Markus Lanz 23.11.2010,"Markus Lanz, Staffel 3",,,,23.11.2010,076'02,"22:58:51 - 00:14:53 076'02 Interview Markus LANZ mit Studiogästen Heiner LAUTERBACH (Schauspieler), Norbert LEHMANN (Adelsexperte), Camilla HENEMARK (Popstar), Thomas SJÖBERG (Autor), Atze SCHRÖDER (Comedian) und Karolina (ehemalige Domina); über die Affäre von Henemark mit dem schwedischen König Carl Gustaf; über die Monarchie in Schweden; über das Leben von Lauterbach und über gesundheitliche Probleme; über die Drogeneskapaden von Lauterbach; über das neue Leben von Lauterbach; über die neuesten Dreharbeiten von Lauterbach für das ZDF in Israel; über das Programm von Schröder; über deutsche Politiker; über lustige Geschichten aus dem Leben von Schröder; über das Leben von Karolina und ihren Neuanfang als Domina; über Karolina als Domina (O-Ton).",Heiner LAUTERBACH,Norbert LEHMANN,Camilla HENEMARK,Thomas SJÖBERG,Atze SCHRÖDER,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 25.11.2010,"Markus Lanz, Staffel 3",,,,25.11.2010,065'04,"23:22:30 - 00:27:34 065'04 Interview Markus LANZ mit Studiogästen Guido KNOPP (Historiker), Peter AHRENS (Journalist), Ulla KOCK AM BRINK (Moderatorin), Bülent CEYLAN (Comedian) und Till BRÖNNER (Musiker); über den Auftritt von Ceylan bei ""Wer wird Millionär""; über Comedians; über die Show von Ceylan; über Deutschland und deutsche Tugenden; über die Karriere von Kock am Brink; über das Leben als Single; über die neue Show von Kock am Brink ""Die perfekte Minute""; über die Entscheidung von Brönner Trompete zu spielen; über den Werdegang von Brönner; über die Sendung ""Die Deutschen"" und über die Technik bei der Produktion; über die Geschichte von Deutschland; über verschiedene deutsche Persönlichkeiten.",Guido KNOPP,Peter AHRENS,Ulla KOCK,Bülent CEYLAN,Till BRÖNNER,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 30.11.2010,"Markus Lanz, Staffel 3",,,,30.11.2010,076'25,"23:01:51 - 00:18:16 076'25 Interview Markus LANZ mit Studiogästen Frank ELSTNER (Moderator), Gayle TUFTS (Entertainerin), Gunther EMMERLICH (Entertainer), Sarah KUTTNER (Moderatorin) und Jürgen TODENHÖFER (Politiker); über Wikileaks und zu den Diplomatenakten; über die weltweiten Auswirkungen; über das Buch ""Teile dein Glück"" von Todenhöfer; über die Erfahrungen von Todenhöfer in der Politik; über eine Reise von Elstner nach Brasilien zu blauen Papageien; über den Artenschutz; über Spinnenphobie; über das Glasauge von Elstner; über ein Belastungs-EKG von Emmerlich, bei dem er in Ohnmacht gefallen ist; über den Sohn von Emmerlich, den er lange nicht gesehen hatte und über dessen Mutter; über festliche Konzerte von Emmerlich in der Adventszeit; über Kuttners Freude über die vorweihnachtliche Zeit; über die Show ""Herr Kaffka und Frau Kuttner""; über Stripclubs; über Rollenkischees bei Männern und Frauen; über das Weinen bei emotionalen Ereignissen; über Tufts Sendung ""Deutschland für Einsteiger"".",Frank ELSTNER,Gayle TUFTS,Gunther EMMERLICH,Sarah KUTTNER,Jürgen TODENHÖFER,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 01.12.2010,"Markus Lanz, Staffel 3",,,,01.12.2010,066'44,"23:49:23 - 00:56:07 066'44 Interview Markus LANZ mit den Studiogästen Michael STICH (ex Tennisspieler), Florian HAMBÜCHEN (Turner), Daniela (HIV-positiv), Jessmin BEGUM (Näherin in Bangladesch), Rosi GOLLMANN (gründete 1967 die Andheri-Hilfe e.V.), Khorshed ALAM (Experte für Arbeitsbedingungen in Bangladesch) und Christoph LÜTGERT (Journalist); über das Outing von Daniela bei Markus Lanz am 26.10.2010, über die Reaktionen aus ihrem Umfeld und über die positive Veränderung für ihr Leben; über die Krankheit HIV; über Geschlechtskrankheiten; über Spitzensport; über das Leben von Hambüchen und seine Biografie; über Doping im Sport; über das Sexleben von Hambüchen; über die Leidenschaft von Hambüchen von das Turnen; über die Näher in Bangladesch; über die Ausbeutung in Bangladesch; über die Lebensumstände von Begum; über die Wirtschaftssituation in Indien und Bangladesch; über Verblindung von Kindern in Indien und Bangladesch; über die Arbeitsbedingungen von Begum; über die Arbeit von Alam um bessere Arbeitsbedingungen in den Textilfabriken; über die Umstände unter denen Lutgert dort filmen konnte; über die Arbeit der Andheri-Hilfe.",Michael STICH,Florian HAMBÜCHEN,Jessmin BEGUM,Rosi GOLLMANN,Khorshed ALAM,Christoph LÜTGERT,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 02.12.2010,"Markus Lanz, Staffel 3",,,,02.12.2010,066'05,"23:18:55 - 00:25:00 066'05 Interview Markus LANZ mit Studiogästen Peter STRUCK (SPD), Peter WECK (Schauspieler) und Sara NURU (Topmodel); über das Politikerleben von Struck und über sein neues Buch ""So läuft das""; über Struck als Motorradfahrer; über den Schlaganfall von Struck; zu Anekdoten aus Berlin; über seine Leben nach der Politik; über den Satz in einer PK von Struck ""Die kann mich mal"" (gemeint war die CDU); über verschiedene Einsätze der Bundeswehr im Ausland; über die Fernsehserie ""Ich heirate eine Familie"" mit Peter Weck; über die Karriere von Weck; über das Leben von Weck; Weck über sich selbst als Mensch; über die Zusammenarbeit von Weck mit Romy Schneider; über Romy Schneider; über Popularität; über die Karriere von Nuru; über ihre Dreharbeiten mit Otto Waalkes zu ""Otto's Eleven""; über die Proportionen bei Models und zu gewünschten Kleidergrößen bei internationalen Modenschauen; über den sozialen Einsatz von Nuru für Äthiopien.",Peter STRUCK,Peter WECK,Sara NURU,,,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 07.12.2010,"Markus Lanz, Staffel 3",,,,07.12.2010,075'53,"22:44:56 - 00:00:49 075'53 Interview Markus LANZ mit Studiogästen Wolfgang STUMPH (Schauspieler), Dieter NUHR (Kabarettist), Ralf SCHNOOR (gewann bei Wer wird Millionär eine Million), Rainer LANGHANS (Bewohner der Komune 1) und Dirk BERGMANN (Bordellbesitzer); über den Gewinn von Schnoor; über die Zukunftspläne von Schnoor; über die Anfänge der Karriere von Stumph; über die Wiedervereinigung von Deutschland und über die Gesellschaft; über Armut und fehlendes Geld in deutschen Bundesländern; über die Rolle der DDR-Vergangenheit von Stumph für ihn selbst; über die Anfänge der Karriere von Nuhr; über den Alltag von Langhans; über die Komune 1; über die Frauen von Langhans; über Sex und persönliche Erfüllung; über die Lebensphilosophie von Langhans; über eine mögliche Teilnahme von Langhans im Dschungelcamp von RTL; über die 68er Bewegung; über das Bild der Deutschen im Ausland; über verschiedene Reisen von Nuhr; über die Menschen in der Öffentlichkeit im Jahr 2010; über den Auftritt von Bergmann bei ""Das Supertalent"" in RTL; über die Arbeit von Bergmann als Bordellbesitzer; über die Homosexualität von Bergmann; über das Treffen von Bergmann und Papst Johannes Paul II. und über die Zukunftspläne von Bergmann.",Wolfgang STUMPH,Dieter NUHR,Ralf SCHNOOR,Rainer LANGHANS,Dirk BERGMANN,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 08.12.2010,"Markus Lanz, Staffel 3",,,,08.12.2010,065'34,"23:20:48 - 00:26:22 065'34 Interview Markus LANZ mit Studiogästen Manfred LÜTZ (Psychiater), Michael TSOKOS (Gerichtsmediziner), Petra (Lesbe), Yvonne FORD (Gründerin der Initiative ""Late Bloomers"") und Ralph MORGENSTERN (Moderator); Thema: Homosexualität; Gerichtsmedizin; über die Arbeit von Rechtsmediziner; über Obduktionen; über Scheintodesfälle; über Selbstmorde; über psychische Erkrankungen; über die Behandlung von psychischen Erkrankungen; über das Comedyprogramm von Lütz; über Homosexualität; über die ersten Zweifel von Petra an ihrer Sexualität; über ihre neue Liebe; über die Lebensgeschichte von Ford und zur ersten Partnerschaft mit einer Frau; über die Gründung von ""Late Bloomers""; über das Coming-Out von Personen in der Öffentlichkeit; über Homosexualität in Adelshäusern.",Manfred LÜTZ,Michael TSOKOS,Yvonne FORD,Ralph MORGENSTERN,,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 09.12.2010,"Markus Lanz, Staffel 3",,,,09.12.2010,067'38,"23:19:28 - 00:27:06 067'38 Interview Markus LANZ mit Studiogästen Ranga YOGESHWAR (Physiker), Bernd STELTER (Kabarettist), Tim MÄLZER (Starkoch) und Eckart WITZIGMANN (""Koch des Jahrhunderts""); über das perfekte Kochen von einem Frühstücksei; über die Schärfe von Chili; über das Lösen von mathematischen Aufgaben im Kopf; über Lerninhalte in der Schule; über Facebook; über die Wechseljahre bei Männern; über das Leben von Witzigmann; über das Älterwerden; Golfspielen; Zusammenarbeit Mälzer und Witzigmann für das Buch ""Mälzer und Witzigmann""; Sterneköche; Witzigmann zu seinem Kokainmissbrauch (O-Ton).",Ranga YOGESHWAR,Bernd STELTER,Tim MÄLZER,Eckart WITZIGMANN,,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 14.12.2010,"Markus Lanz, Staffel 3",,,,14.12.2010,042'12,"22:44:43 - 23:26:55 042'12 Interview Markus LANZ mit den Studiogästen Mario ADORF (Schauspieler), Petra GERSTER (Moderatorin) und Ehemann Christian NÜRNBERGER (Journalist) (O-Ton). Themen: 80.Geburtstag Mario Adorf, sein Leben in Italien in den sechziger Jahren, seine Ehe; Buch ""Charakter"" von Petra Gerster und Christian Nürnberger, ihre gemeinsame Ehe. Auch Natascha KAMPUSCH ist zu Gast, in einem Interview (Einzelgespräch) erzählt sie von ihrem acht Jahre dauernden Martyrium als Entführungsopfer. 23:26:55 - 00:00:14 033'19 Interview (ohne die Zuschauer und anderen Gäste) Markus LANZ mit Studiogast Natascha KAMPUSCH (Entführungsopfer) , Themen: Versuch der Verarbeitung ihrer Erlebnisse; Ablauf der eigentlichen Entführung, Verlauf und Gestaltung der Gefangenschaft, Persönlichkeit des Entführers, Flucht, Hilfe bei Verarbeitung der Ereignisse durch die Arbeit an dem Buch ""3096 Tage"" (O-Ton).",Mario ADORF,Petra GERSTER,Ehemann Christian NÜRNBERGER,,,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 15.12.2010,"Markus Lanz, Staffel 3",,,,15.12.2010,066'44,"23:31:04 - 00:37:48 066'44 Interview Markus LANZ mit den Studiogästen Gitte HAENNING (Sängerin), Martin RÜTTER (Tierpsychologe und Hundetrainer), Paul PANZER (alias Dieter TAPPERT, Comedian), Theo BRENIG (Kfz-Meister und Promi-Jäger), Themen: Mentalitäten in Deutschland und Dänemark; Umgang mit Hunden; Leben als Kinderstar, Umgang mit Geld; ""Prominentenjagd"" von Theo Brenig.",Gitte HAENNING,Martin RÜTTER,Paul PANZER,Theo BRENIG,,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 12.01.2011,"Markus Lanz, Staffel 4",,,,12.01.2011,065'26,"23:18:02 - 00:23:28 065'26 Interview Markus LANZ mit den Studiogästen Joe BAUSCH (Gefängnisarzt), Gisela FRIEDRICHSEN (Gerichtsreporterin), Michael TSOKOS (Gerichtsmediziner), Günther KAUFMANN (Schauspieler, unschuldig im Gefängnis), Anna Maria ZIMMERMANN (Sängerin) und ihrer Mutter Anne ZIMMERMANN, Themen: Verbrechen und Verbrecher, extreme Gewalt auch im Gefängnis; Absturz von Anna Maria Zimmermann mit dem Hubschrauber, Heilung ihrer Verletzungen (O-Ton).",Joe BAUSCH,Gisela FRIEDRICHSEN,Michael TSOKOS,Günther KAUFMANN,Anna Maria ZIMMERMANN,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 13.01.2011,"Markus Lanz, Staffel 4",,,,13.01.2011,066'52,"23:18:51 - 00:25:43 066'52 Interview Markus LANZ mit den Studiogästen Siegfried RAUCH (Schauspieler), Sonya KRAUS (Moderatorin), Kaya YANAR (Comedian), Notker WOLF (Abtprimas der Benediktiner), Themen: Buch ""Made in Germany"" von Kaya Yanar, Integration und Religion, katholische Sexuallehre, Beruf Schauspieler, Buch von Sonya Kraus, Einstellung zum Leben, Verhältnis zu Mitmenschen, Leben als Benediktinermönch, deutscher Sozialstaat (O-Ton).",Siegfried RAUCH,Sonya KRAUS,Kaya YANAR,Notker WOLF,,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 18.01.2011,"Markus Lanz, Staffel 4",,,,18.01.2011,076'52,"23:01:43 - 00:18:35 076'52 Interview Markus LANZ mit den Studiogästen Ingrid VAN BERGEN (Schauspielerin), Carlo VON TIEDEMANN (Moderator), Peter BARTELS (Boulevard-Journalist, ehem. Chefredakteur BILD-Zeitung), Andrea MOHR (Autorin), Themen ""gefallene Stars"": Stigma Ingrid van Bergen wegen Tötungsdelikt und Gefängnisaufenthalt und ihr Mitwirken bei ""Dschungelcamp"", Schulden und Drogensucht Carlo von Tiedemann, Drogenkriminalität und Gefängnisaufenthalt von Andrea Mohr, Umgang der Presse mit solchen Skandalgeschichten (O-Ton).",Ingrid VAN,Carlo VON,Peter BARTELS,Andrea MOHR,,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 19.01.2011,"Markus Lanz, Staffel 4",,,,19.01.2011,065'59,"23:15:10 - 00:21:09 065'59 Interview Markus LANZ mit dern Studiogästen Costa CORDALIS (Sänger), Harry WIJNVOORD (Moderator), Christian LÜDKE (Psychotherapeut), Maite KELLY (Moderatorin), Frank ROSIN (Koch), Stefan SCHMIDT (Pianist), Matthias ""Matze"" HELDT (ehem. Obdachloser, Teilnehmer bei ""Straßenchor""), Themen: kritische Auseinandersetzung mit der Sendung ""Dschungelcamp"" von RTL, an deren 1.bzw. 2.Staffel Costa Cordalis und Harry Wijnvoord teilgenommen haben; Sendung ""Da wird mir übel"" von ZDFneo mit Maite Kelly, Ernährung und Tricks der Lebensmittelindustrie; Projekt ""Straßenchor"" von Stefan Schmidt (O-Ton).",Costa CORDALIS,Harry WIJNVOORD,Christian LÜDKE,Maite KELLY,Frank ROSIN,Stefan SCHMIDT,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 20.01.2011,"Markus Lanz, Staffel 4",,,,20.01.2011,044'53,"23:20:01 - 00:04:54 044'53 Diskussion Markus LANZ mit den Studiogästen Ross ANTONY (Sänger), Michael KNEISSLER (Autor und Journalist), Jörg KNÖR (Entertainer), Hans MEISER (Moderator), Thema: RTL-Sendung ""Dschungelcamp"" (O-Ton).",Ross ANTONY,Michael KNEISSLER,Jörg KNÖR,Hans MEISER,,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 25.01.2011,"Markus Lanz, Staffel 4",,,,25.01.2011,074'59,"00:01:00 - 01:15:59 074'59 Interview Markus LANZ mit den Studiogästen Ingo APPELT (Comedian), Christine LUGNER (Mausi LUGNER) (Dschungelcamp-Teilnehmerin, Moderatorin), Hans Werner OLM (Comedian), Arnulf RATING (Kabarettist), Anka ZINK (Kabarettistin), Kay RAY (Entertainer), Themen: RTL-Sendung ""Dschungelcamp"", Qualität der aktuellen Politiker, Online-Communities, Bisexualität und Alkoholsucht von Kay Ray (O-Ton).",Ingo APPELT,Christine LUGNER,Hans Werner OLM,Arnulf RATING,Anka ZINK,Kay RAY,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 26.01.2011,"Markus Lanz, Staffel 4",,,,26.01.2011,066'55,"23:15:57 - 00:22:52 066'55 Interview Markus LANZ mit den Studiogästen Maximilian SCHELL (Schauspieler), Giulia SIEGEL (Model, Schauspielerin und Dschungelcamp-Teilnehmerin), Bastian SICK (Autor), Barbara PACHL-EBERHART (Autorin), Themen: RTL-Sendung ""Dschungelcamp""; Zicken-Image von Giulia Siegel durch ihre Dschungelcamp-Teilnahme 2009; Beitrag des Fernsehens zur Volksbildung; Verhältnis Maximilian Schell zu Frauen; Veränderungen der modernen Sprache; mit Barbara PACHL-EBERHART über den Verlust ihrer Familie durch einen Unfall, Bewältigung der Lebenskrise danach (O-Ton).",Maximilian SCHELL,Giulia SIEGEL,Bastian SICK,Barbara PACHL-EBERHART,,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 27.01.2011,"Markus Lanz, Staffel 4",,,,27.01.2011,066'37,"23:20:13 - 00:26:50 066'37 Interview Markus LANZ mit den Studiogästen Joachim FUCHSBERGER (Schauspieler und Moderator), Franz Josef WAGNER (Boulevard-Journalist BILD-Zeitung), Gundis ZAMBO, (Moderatorin, Teilnehmerin bei RTL-Sendung ""Dschungelcamp""), Eveline HALL (mit 65 Jahren ältestes Model von Deutschland), Themen: Fernsehen in Deutschland, Dschungel-Camp-Teilnahme Gundis Zambo, Alter, Älterwerden und Tod, Schönheitsoperationen, Ehrlichkeit als Lebenshaltung, Karriere von Eveline Hall als Model, Tod des Sohnes von Joachim Fuchsberger, tägliche Kolumne von Franz Josef Wagner, seine Arbeit mit dem jungen Boris Becker, Millionen-Klage Tom Cruise gegen seinen Verlag (O-Ton).",Joachim FUCHSBERGER,Franz Josef WAGNER,Gundis ZAMBO,Eveline HALL,,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 01.02.2011,"Markus Lanz, Staffel 4",,,,01.02.2011,076'52,"22:46:41 - 00:03:33 076'52 Interview und Diskussion Markus LANZ mit den Studiogästen Til SCHWEIGER (Schauspieler), Jasmin GERAT (Schauspielerin), Armin ROHDE (Schauspieler), Immo VON SCHNURBEIN (ehem. Kommandant Segelschulschiff ""Gorch Fock""), Christian LÜDKE (Psychotherapeut, Kriminalpsychologe), Anja WILLE (verlor 2004 ihren Sohn Felix durch ein Gewaltverbrechen), Themen: Drill auf dem Segelschulschiff ""Gorch Fock"", Ablösung von Kapitän Norbert Schatz durch BMVE Karl Theodor zu Guttenberg; nachträgliche Wehrdienstverweigerung von Til Schweiger, Wehrdienstverweigerung von Armin Rohde, Arbeit von beiden als Synchronsprecher für Pornofilme; Film ""Kokowääh"" von und mit Til Schweiger, Arbeit mit seiner achtjährigen Tochter Emma in dem Film; Rolle von Armin Rohde im Theater als ""Cyrano de Bergerac""; Leiden der Angehörigen von entführten Kindern am Beispiel von Anja Wille, Mordfall Felix Wille, Diskrepanz zwischen Mitgefühl und Verständnis für die Täter und fehlender Beachtung der Opfer (O-Ton). Jasmin Gerat verlässt während des Themas Anja Wille das Studio (niB).",Til SCHWEIGER,Jasmin GERAT,Armin ROHDE,Immo VON,Christian LÜDKE,Anja WILLE,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 02.02.2011,"Markus Lanz, Staffel 4",,,,02.02.2011,065'30,"23:27:38 - 00:33:08 065'30 Interview Markus LANZ mit den Studiogästen Atze SCHRÖDER (Comedian), Jens WESTERBECK (Autor), Achim MENTZEL (Entertainer), Oliver KALKOFE (Satiriker), Regina HAMZA (Tierpflegerin, mit den beiden Löwen Nero und Niza im Studio), Michael BÖER (Fachtierarzt für Wildtiere), Themen: Rettung durch Notoperation und Handaufzucht von zwei weißen Löwenbabys durch Regina Hamza; Sendung ""Dschungelcamp""; Buch ""Boatpeople"" von Jens Westerbeck, seine Freundschaft mit Atze Schröder; Freundschaft zwischen Oliver Kalkofe und Achim Mentzel, Republikflucht von Mentzel, soziales Projekt ""Madamlo Ghana e.V."" von Atze Schröder in Ghana; Zustand des deutschen Fernsehens (O-Ton).",Atze SCHRÖDER,Jens WESTERBECK,Achim MENTZEL,Oliver KALKOFE,Regina HAMZA,Michael BÖER,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 03.02.2011,"Markus Lanz, Staffel 4",,,,03.02.2011,066'04,"23:19:37 - 00:25:41 066'04 Interview Markus LANZ mit den Studiogästen Indira WEIS (Sängerin), Ruth Maria KUBITSCHEK (Schauspielerin), Edgar SELGE (Schauspieler), Christoph Maria HERBST (Schauspieler), Themen: Sendung ""Dschungelcamp"" (an der Indira Weis teilgenommen hat); Schönheitsoperationen; 80.Geburtstag und Karriere von Ruth Maria Kubitschek; Kinofilm ""Poll"" mit Edgar Selge, Umgang und Verhältnis zu Straftätern (Selges Vater war Gefängnisdirektor); Buch ""Ein Traum von einem Schiff"" von Christoph Maria Herbst, seine Mitwirkung bei der Serie ""Traumschiff"", sein Verhältnis zum christlichen Glauben (O-Ton).",Indira WEIS,Ruth Maria KUBITSCHEK,Edgar SELGE,Christoph Maria HERBST,,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 08.02.2011,"Markus Lanz, Staffel 4",,,,08.02.2011,076'28,"22:44:48 - 00:01:16 076'28 Interview Markus LANZ mit den Studiogästen Rangha YOGESHWAR (Wissenschaftsjournalist), Bernhard BUEB (Pädagoge), Anne Sophie BRIEST (Schauspielerin), Tobias RITTER (Vater von zwei Söhnen, die durch seine Ex-Frau nach Italien entführt wurden), Matthias Alessandro STRAUSS (Rechtsanwalt), Themen: Thesen der US-Autorin Amy Chua über Erziehung; Entführungsfall im Sorgerechtsstreit von Tobias Ritter (O-Ton).",Rangha YOGESHWAR,Bernhard BUEB,Anne Sophie BRIEST,Tobias RITTER,Matthias Alessandro STRAUSS,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 09.02.2011,"Markus Lanz, Staffel 4",,,,09.02.2011,065'23,"23:26:29 - 00:31:52 065'23 Interview Markus LANZ mit den Studiogästen Cleo KRETSCHMER (Schauspielerin), Manfred SPÄTH (Leitender Oberarzt für Neurochirurgie am Klinikum MünchenßSchwabing), Ruth MOSCHNER (Moderatorin), Sabine ASGODOM (Autorin, Diät-Gegnerin), Laetitia HAHN (hochbegabte Siebenjährige) und Vater Christian HAHN, Themen: Hochbegabung bei Kindern; Auftritt Monica Lierhaus bei der Goldenen Kamera, geplatztes Aneurysma bei Cleo Kretschmer 1998, Todeserfahrung und anschließende Rekonvaleszenz; Übergewicht und Diät (O-Ton).",Cleo KRETSCHMER,Manfred SPÄTH,Ruth MOSCHNER,Sabine ASGODOM,Laetitia HAHN,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 10.02.2011,"Markus Lanz, Staffel 4",,,,10.02.2011,065'12,"23:45:36 - 00:50:48 065'12 Interview Markus LANZ mit den Studiogästen Marietta SLOMKA (Journalistin), Michael GWISDEK (Schauspieler), Uwe Karsten HEYE (Journalist), Karen DUVE (Autorin), Themen: bewusste Ernährung mit Bio-Produkten, Massentierhaltung, veganische Ernährung; Neues Buch ""Mein afrikanisches Tagebuch"" von Marietta Slomka, Frauenquote; Film ""Das Lied in mir"" mit Michael Gwisdek, Stiefkinder, Lügen im alltäglichen Leben, Treue in der Ehe; Buch ""Vom Glück nur ein Schatten"" von Uwe Karsten Heye, das vom ZDF im Zweiteiler ""Schicksalsjahre"" verfilmt wurde, Heye zu seiner Zeit als Regierungssprecher (O-Ton).",Marietta SLOMKA,Michael GWISDEK,Uwe Karsten HEYE,Karen DUVE,,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 15.02.2011,"Markus Lanz, Staffel 4",,,,15.02.2011,078'50,"23:10:54 - 00:29:44 078'50 Interview Markus LANZ mit den Studiogästen Dagmar KOLLER (Sängerin), Bastian PASTEWKA (Schauspieler und Comedian), Paula LAMBERT (Sexkolumnistin, Autorin), DOMINIQUE (Nachtclubbesitzerin, Autorin, Domina), Sven FLOHR (nahm in einem Jahr 50 Kilo ab), Volker RIPPMANN (Facharzt für Plastische und Ästhetische Chirurgie), Themen: Tod von Peter Alexander; Buch ""Die Kunst eine Frau zu sein"" von Dagmar Koller, Älterwerden, Kehren als Fitness-Sport; Comedy-Serie ""Pastewka"", seine Vorliebe für die Schlagerband ""Die Flippers""; Schönheitsoperationen; Sexualität; Erfolgsrezept bei der Diät von Sven Flohr (O-Ton).",Dagmar KOLLER,Bastian PASTEWKA,Paula LAMBERT,Sven FLOHR,Volker RIPPMANN,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 16.02.2011,"Markus Lanz, Staffel 4",,,,16.02.2011,066'51,"23:15:23 - 00:22:14 066'51 Interview Markus LANZ mit den Studiogästen Nadja AUERMANN (Model), Katarina WITT (Chefin Bewerbungskomitee Olympische Winterspiele 2018 München), Peer KUSMAGK (Schauspieler und Moderator, Dschungelkönig), DER GRAF (Bandleader ""Unheilig""), Josephine OPITZ (Fan von ""Unheilig"") und ihre Mutter Martina OPITZ (im Publikum), Themen: Initiative von Nadja Auermann gegen Kinder als Models, modernes Schönheitsideal für Frauen; Verlangen nach Applaus und Berühmtheit; Teilnahme von Peer Kusmagk bei der Sendung ""Dschungelcamp""; Emotionalität bei Männern und in der Öffentlichkeit; soziales Engagement von Der Graf duch den Verein ""Herzenswünsche"", sein Pseudonym, Verlauf seiner Karriere, absichtliche Stummheit in seiner Kindheit; Arbeit von Katarina Witt für die Olympiabewerbung (O-Ton).",Nadja AUERMANN,Katarina WITT,Peer KUSMAGK,Josephine OPITZ,Mutter Martina OPITZ,,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
Markus Lanz 17.02.2011,"Markus Lanz, Staffel 4",,,,17.02.2011,067'47,"23:18:05 - 00:25:52 067'47 Interview und Diskussion Markus LANZ mit den Studiogästen Karl DALL (Entertainer), Desiree NICK (Entertainerin), Rainer LANGHANS und Christa RITTER (Autorin), David BERGER (homosexueller katholischer Theologe), Gabriele KUBY (katholische Publizistin), Themen: Sendung ""Dschungelcamp"", an der Rainer Langhans teilnahm, ebenso wie Desiree Nick vor sieben Jahren; Kommune 1 und sexuelle Revolution; Älterwerden; Trennung von Körper und Geist, katholische Glaubenslehre, Haltung der katholischen Kirche zur Sexualität und Homosexualität, Umgang der katholischen Kirche mit David Berger nach dessen Outing (O-Ton).",Karl DALL,Desiree NICK,Rainer LANGHANS,Christa RITTER,David BERGER,Gabriele KUBY,,,,,,,,,,,,,,,,Q21191270,Q1499182,Q622812,Q43773,Q48989,Q183,Q188
