ID,Datum,Talkshow,Name_voll_raw,Name,Funktion,Beschreibung,Partei,Summe,Gruppe
anne-will_286-griechenland-am-abgrund-stolpert-die-regierung-tsipras-einen-schritt-nach-vorn-692613,2015-03-11,Anne Will,Armin Laschet,Armin Laschet,Gast,"CDU, stellvertretender Parteivorsitzender",CDU,1,Politik
anne-will_287-boomende-boerse-grosse-erbschaften-werden-nur-die-reichen-immer-reicher-694211,2015-03-18,Anne Will,Michael Meister,Michael Meister,Gast,"CDU, Parlamentarischer Staatssekretär beim Bundesminister der Finanzen",CDU,1,Politik
anne-will_287-boomende-boerse-grosse-erbschaften-werden-nur-die-reichen-immer-reicher-694211,2015-03-18,Anne Will,Julia Friedrichs,Julia Friedrichs,Gast,Autorin,keine Partei,2,Medien
anne-will_287-boomende-boerse-grosse-erbschaften-werden-nur-die-reichen-immer-reicher-694211,2015-03-18,Anne Will,Wolfgang Kubicki,Wolfgang Kubicki,Gast,"FDP, stellvertretender Parteivorsitzender",FDP,1,Politik
anne-will_287-boomende-boerse-grosse-erbschaften-werden-nur-die-reichen-immer-reicher-694211,2015-03-18,Anne Will,Dr. Ralf Stegner,Ralf Stegner,Gast,"stellvertretender Parteivorsitzender, (SPD)",SPD,1,Politik
anne-will_287-boomende-boerse-grosse-erbschaften-werden-nur-die-reichen-immer-reicher-694211,2015-03-18,Anne Will,Rainer Hank,Rainer Hank,Gast,Ressortleiter Wirtschaft bei der „Frankfurter Allgemeinen Sonntagszeitung“,keine Partei,1,Medien
anne-will_288-der-tag-nach-dem-absturz-deutschland-trauert-697088,2015-03-25,Anne Will,Dagmar Eckers,Dagmar Eckers,Gast,"Psychologin, Traumaforum Berlin",keine Partei,1,Wissenschaft
anne-will_288-der-tag-nach-dem-absturz-deutschland-trauert-697088,2015-03-25,Anne Will,Andreas Spaeth,Andreas Spaeth,Gast,Luftfahrtjournalist,keine Partei,1,Medien
anne-will_288-der-tag-nach-dem-absturz-deutschland-trauert-697088,2015-03-25,Anne Will,Elmar Giemulla,Elmar Giemulla,Gast,"Rechtsanwalt, Experte für Luftrecht,Luftverkehrsrecht",keine Partei,2,Wissenschaft
anne-will_288-der-tag-nach-dem-absturz-deutschland-trauert-697088,2015-03-25,Anne Will,Nikolaus Schneider,Nikolaus Schneider,Gast,Ehemaliger Ratsvorsitzender der Evangelischen Kirche in Deutschland,keine Partei,1,Wissenschaft
anne-will_289-drachme-statt-euro-katastrophe-oder-erloesung-706536,2015-04-22,Anne Will,Henrik Enderlein,Henrik Enderlein,Gast,Wirtschaftswissenschaftler,keine Partei,2,Wissenschaft
anne-will_289-drachme-statt-euro-katastrophe-oder-erloesung-706536,2015-04-22,Anne Will,Alexander Graf Lambsdorff,Alexander Graf Lambsdorff,Gast,"FDP, Vizepräsident des Europäischen Parlaments",FDP,1,Politik
anne-will_289-drachme-statt-euro-katastrophe-oder-erloesung-706536,2015-04-22,Anne Will,Günter Verheugen,Günter Verheugen,Gast,"SPD, ehemaliger Vizepräsident der Europäischen Kommission",SPD,1,Politik
anne-will_289-drachme-statt-euro-katastrophe-oder-erloesung-706536,2015-04-22,Anne Will,Nikolaus Blome,Nikolaus Blome,Gast,Leiter des SPIEGEL-Hauptstadtbüros,keine Partei,1,Medien
anne-will_289-drachme-statt-euro-katastrophe-oder-erloesung-706536,2015-04-22,Anne Will,Margarita Tsomou,Margarita Tsomou,Gast,"Journalistin,Mitherausgeberin „Missy Magazine“",keine Partei,1,Medien
