Name,Vorname,Nachname,Geschlecht
Magda Kunkel,Magda,Kunkel,1
Magdalena Brzeska,Magdalena,Brzeska,1
Magdalena Neuner,Magdalena,Neuner,1
Magnus Brechtken,Magnus,Brechtken,0
Mahbuba Aykat,Mahbuba,Aykat,1
Mahtob Mahmoody,Mahtob,Mahmoody,1
Mai Thi Nguyen-Kim,Mai,Thi Nguyen-Kim,1
Mai-Lin Senf,Mai-Lin,Senf,1
Maik Mutschke,Maik,Mutschke,0
Maike Finnern,Maike,Finnern,1
Maike van den Boom,Maike,van den Boom,1
Maja Göpel,Maja,Göpel,1
Maja Zaubitzer,Maja,Zaubitzer,1
Majd al Hosaini,Majd,al Hosaini,0
Malcolm Ohanwe,Malcolm,Ohanwe,0
Malte Thießen,Malte,Thießen,0
Malu Dreyer,Malu,Dreyer,1
Mana al-Sharif,Mana,al-Sharif,1
Mandy Mangler,Mandy,Mangler,1
Manfred Baasner,Manfred,Baasner,0
Manfred Goetzke,Manfred,Goetzke,0
Manfred Karremann,Manfred,Karremann,0
Manfred Krug,Manfred,Krug,0
Manfred Levy,Manfred,Levy,0
Manfred Lütz,Manfred,Lütz,0
Manfred Paulus,Manfred,Paulus,0
Manfred Protze,Manfred,Protze,0
Manfred Rekowski,Manfred,Rekowski,0
Manfred Spitzer,Manfred,Spitzer,0
Manfred Wagner,Manfred,Wagner,0
Manfred Weber,Manfred,Weber,0
Manni Ludolf,Manni,Ludolf,1
Manuel Andrack,Manuel,Andrack,0
Manuel Bewarder,Manuel,Bewarder,0
Manuela Conte,Manuela,Conte,1
Manuela Schwesig,Manuela,Schwesig,1
Manuela Valdivieso,Manuela,Valdivieso,1
Marc Baumann,Marc,Baumann,0
Marc Felix Serrao,Marc,Felix Serrao,0
Marc Friedrich,Marc,Friedrich,0
Marc Marshall,Marc,Marshall,0
Marc Widmann,Marc,Widmann,0
Marc-Christoph Wagner,Marc-Christoph,Wagner,0
Marcel Fratzscher,Marcel,Fratzscher,0
Marcel Mettelsiefen,Marcel,Mettelsiefen,0
Marcel Reif,Marcel,Reif,0
Marcel Seidenzahl,Marcel,Seidenzahl,0
Marcell Jansen,Marcell,Jansen,0
Marcella Hansch,Marcella,Hansch,1
Marco Buschmann,Marco,Buschmann,0
Marco Hagemann,Marco,Hagemann,0
Marco Scheel,Marco,Scheel,0
Marco Sturm,Marco,Sturm,0
Marco Wanderwitz,Marco,Wanderwitz,0
Marcus Bark,Marcus,Bark,0
Marcus Bensmann,Marcus,Bensmann,0
Marcus Engert,Marcus,Engert,0
Marcus Faber,Marcus,Faber,0
Marcus Grotian,Marcus,Grotian,0
Marcus Hausser,Marcus,Hausser,0
Marcus Pretzell,Marcus,Pretzell,0
Marcus Wöhrl,Marcus,Wöhrl,0
Marcus van Riesen,Marcus,van Riesen,0
Mareike Boccola,Mareike,Boccola,1
Mareike Nieberding,Mareike,Nieberding,1
Mareile Höppner,Mareile,Höppner,1
Marek Erhardt,Marek,Erhardt,0
Maren Kern,Maren,Kern,1
Maren Kroymann,Maren,Kroymann,1
Maren Urner,Maren,Urner,1
Margareta Büning-Fesel,Margareta,Büning-Fesel,1
Margarete Bause,Margarete,Bause,1
Margarete Klein,Margarete,Klein,1
Margarethe Hruby,Margarethe,Hruby,1
Margarita Tsomou,Margarita,Tsomou,1
Margie Kinsky,Margie,Kinsky,1
Margot Flügel-Anhalt,Margot,Flügel-Anhalt,1
Margot Friedländer,Margot,Friedländer,1
Margot Käßmann,Margot,Käßmann,1
Maria Braarvig,Maria,Braarvig,1
Maria Diederichs,Maria,Diederichs,1
Maria Dunkel,Maria,Dunkel,1
Maria Fichte,Maria,Fichte,1
Maria Fiedler,Maria,Fiedler,1
Maria Furtwängler,Maria,Furtwängler,1
Maria Groß,Maria,Groß,1
Maria Höfl-Riesch,Maria,Höfl-Riesch,1
Maria Kuban,Maria,Kuban,1
Maria Loheide,Maria,Loheide,1
Maria Steuer,Maria,Steuer,1
Mariam Klouche,Mariam,Klouche,1
Mariam Lau,Mariam,Lau,1
Mariam Noori,Mariam,Noori,1
Marian Gold,Marian,Gold,0
Marianne Koch,Marianne,Koch,1
Marianne und Michael,Marianne,und Michael,1
Marie Amiére,Marie,Amiére,1
Marie Bäumer,Marie,Bäumer,1
Marie Merklinger,Marie,Merklinger,1
Marie Nasemann,Marie,Nasemann,1
Marie Rosenkranz,Marie,Rosenkranz,1
Marie von Manteuffel,Marie,von Manteuffel,1
Marie-Agnes Strack-Zimmermann,Marie-Agnes,Strack-Zimmermann,1
Marie-Christine Ostermann,Marie-Christine,Ostermann,1
Marie-Janine Calic,Marie-Janine,Calic,1
Marie-Luise Balk-Egger,Marie-Luise,Balk-Egger,1
Marie-Luise Marjan,Marie-Luise,Marjan,1
Marie-Luise Wolff,Marie-Luise,Wolff,1
Mariele Millowitsch,Mariele,Millowitsch,1
Marieluise Beck,Marieluise,Beck,1
Marija Linnhoff,Marija,Linnhoff,1
Marijke Amado,Marijke,Amado,1
Marin Ivankovic,Marin,Ivankovic,0
Marina Hoermanseder,Marina,Hoermanseder,1
Marina Kormbaki,Marina,Kormbaki,1
Marina Köhler,Marina,Köhler,1
Marina Litwinenko,Marina,Litwinenko,1
Marina Münkler,Marina,Münkler,1
Marina Owsjannikowa,Marina,Owsjannikowa,1
Marina Schweizer,Marina,Schweizer,1
Marina Weisband,Marina,Weisband,1
Mario Basler,Mario,Basler,0
Mario Czaja,Mario,Czaja,0
Mario Gutmann,Mario,Gutmann,0
Mario Kotaska,Mario,Kotaska,0
Mario Röllig,Mario,Röllig,0
Mario Voigt,Mario,Voigt,0
Marion Gabriel,Marion,Gabriel,1
Marion Kiechle,Marion,Kiechle,1
Marion Kracht,Marion,Kracht,1
Marion Rink,Marion,Rink,1
Marion Tiemann,Marion,Tiemann,1
Marion von Haaren,Marion,von Haaren,1
Marius Müller-Westernhagen,Marius,Müller-Westernhagen,0
Mariya Maksymtsiv,Mariya,Maksymtsiv,1
Mark Benecke,Mark,Benecke,0
Mark Forster,Mark,Forster,0
Mark Reeder,Mark,Reeder,0
Mark Schieritz,Mark,Schieritz,0
Markus Babbel,Markus,Babbel,0
Markus Barth,Markus,Barth,0
Markus Blume,Markus,Blume,0
Markus Feldenkirchen,Markus,Feldenkirchen,0
Markus Gürne,Markus,Gürne,0
Markus Hartmann,Markus,Hartmann,0
Markus Ihle,Markus,Ihle,0
Markus Kaim,Markus,Kaim,0
Markus Koch,Markus,Koch,0
Markus Lanz,Markus,Lanz,0
Markus Lewe,Markus,Lewe,0
Markus Meinzer,Markus,Meinzer,0
Markus Merk,Markus,Merk,0
Markus Nierth,Markus,Nierth,0
Markus Peichl,Markus,Peichl,0
Markus Plenk,Markus,Plenk,0
Markus Preiter,Markus,Preiter,0
Markus Preiß,Markus,Preiß,0
Markus Rehm,Markus,Rehm,0
Markus Rex,Markus,Rex,0
Markus Söder,Markus,Söder,0
Markus Wahl,Markus,Wahl,0
Markus Wasmeier,Markus,Wasmeier,0
Marlene Engelhorn,Marlene,Engelhorn,1
Marlene Lufen,Marlene,Lufen,1
Marlis Tepe,Marlis,Tepe,1
Marteria,Marteria,NA,0
Martin Bayerstorfer,Martin,Bayerstorfer,0
Martin Brambach,Martin,Brambach,0
Martin Dulig,Martin,Dulig,0
Martin Ehlers,Martin,Ehlers,0
Martin Engelmann,Martin,Engelmann,0
Martin Feldmann,Martin,Feldmann,0
Martin Fuchs,Martin,Fuchs,0
Martin Herrenknecht,Martin,Herrenknecht,0
Martin Hikel,Martin,Hikel,0
Martin Huber,Martin,Huber,0
Martin Kind,Martin,Kind,0
Martin Knobbe,Martin,Knobbe,0
Martin Litsch,Martin,Litsch,0
Martin Lohmann,Martin,Lohmann,0
Martin Machowecz,Martin,Machowecz,0
Martin Neumeyer,Martin,Neumeyer,0
Martin Patzelt,Martin,Patzelt,0
Martin Renner,Martin,Renner,0
Martin Richenhagen,Martin,Richenhagen,0
Martin Rütter,Martin,Rütter,0
Martin Schirdewan,Martin,Schirdewan,0
Martin Schmitt,Martin,Schmitt,0
Martin Schoeller,Martin,Schoeller,0
Martin Schröder,Martin,Schröder,0
Martin Schulz,Martin,Schulz,0
Martin Schwalb,Martin,Schwalb,0
Martin Semmelrogge,Martin,Semmelrogge,0
Martin Stürmer,Martin,Stürmer,0
Martin Suter,Martin,Suter,0
Martin Terhardt,Martin,Terhardt,0
Martina,Martina,NA,1
Martina Böswald,Martina,Böswald,1
Martina Leisten,Martina,Leisten,1
Martina Nighswonger,Martina,Nighswonger,1
Martina Renner,Martina,Renner,1
Martina Rosenberg,Martina,Rosenberg,1
Martina Voss-Tecklenburg,Martina,Voss-Tecklenburg,1
Martina Wenker,Martina,Wenker,1
Martina von Münchhausen,Martina,von Münchhausen,1
Marwan Khoury,Marwan,Khoury,0
Mary Elise Sarotte,Mary,Elise Sarotte,1
Mary L Trump,Mary,L Trump,1
Mary Roos,Mary,Roos,1
Maryam Komeyli,Maryam,Komeyli,1
Maryon Vollrath,Maryon,Vollrath,1
Maryse Wolinski,Maryse,Wolinski,1
Mateo Jasik,Mateo,Jasik,0
Mathias Döpfner,Mathias,Döpfner,0
Mathias Richling,Mathias,Richling,0
Mathias Sonne,Mathias,Sonne,0
Mathieu Carrière,Mathieu,Carrière,0
Mathieu von Rohr,Mathieu,von Rohr,0
Mathilde Schwabeneder,Mathilde,Schwabeneder,1
Matthew Karnitschnig,Matthew,Karnitschnig,0
Matthias Behr,Matthias,Behr,0
Matthias Bernt,Matthias,Bernt,0
Matthias Brügelmann,Matthias,Brügelmann,0
Matthias Deiß,Matthias,Deiß,0
Matthias Dolderer,Matthias,Dolderer,0
Matthias Dürbaum,Matthias,Dürbaum,0
Matthias Ecke,Matthias,Ecke,0
Matthias Gebauer,Matthias,Gebauer,0
Matthias Grenzer,Matthias,Grenzer,0
Matthias Günther,Matthias,Günther,0
Matthias Horx,Matthias,Horx,0
Matthias Jung,Matthias,Jung,0
Matthias Katsch,Matthias,Katsch,0
Matthias Krupa,Matthias,Krupa,0
Matthias Machnig,Matthias,Machnig,0
Matthias Manthei,Matthias,Manthei,0
Matthias Matschke,Matthias,Matschke,0
Matthias Maurer,Matthias,Maurer,0
Matthias Miersch,Matthias,Miersch,0
Matthias Morr,Matthias,Morr,0
Matthias Platzeck,Matthias,Platzeck,0
Matthias Quent,Matthias,Quent,0
Matthias R Lemke,Matthias,R Lemke,0
Matthias Sander,Matthias,Sander,0
Matthias Schimpf,Matthias,Schimpf,0
Matthias Schmitz,Matthias,Schmitz,0
Matthias Schranner,Matthias,Schranner,0
Matthias Spott,Matthias,Spott,0
Matthias Steiner,Matthias,Steiner,0
Matthias Thöns,Matthias,Thöns,0
Matthias Wissmann,Matthias,Wissmann,0
Matthias von Randow,Matthias,von Randow,0
Matto Barfuss,Matto,Barfuss,0
Matze Knop,Matze,Knop,0
Maurike Maaßen,Maurike,Maaßen,1
Max Eberl,Max,Eberl,0
Max Giermann,Max,Giermann,0
Max Giesinger,Max,Giesinger,0
Max Moor,Max,Moor,0
Max Mutzke,Max,Mutzke,0
Max Otte,Max,Otte,0
Max Rinneberg,Max,Rinneberg,0
Max Straubinger,Max,Straubinger,0
Max Strauß,Max,Strauß,0
Maxim Nitsche,Maxim,Nitsche,0
Maximilian Mörseburg,Maximilian,Mörseburg,0
Maximilian Warshitsky,Maximilian,Warshitsky,0
Maya Alkhechen,Maya,Alkhechen,1
Maya Lasker-Wallfisch,Maya,Lasker-Wallfisch,1
Mayte Garcia,Mayte,Garcia,1
Mazour Hossein Sharifi,Mazour,Hossein Sharifi,0
Mehmet Can,Mehmet,Can,0
Mehmet Daimagüler,Mehmet,Daimagüler,0
Mehmet Gürcan Daimagüler,Mehmet,Gürcan Daimagüler,0
Meike Mouchtouris,Meike,Mouchtouris,1
Meike Ramuschkat,Meike,Ramuschkat,1
Meike Winnemuth,Meike,Winnemuth,1
Melanie Amann,Melanie,Amann,1
Melanie Brinkmann,Melanie,Brinkmann,1
Melanie C,Melanie,C,1
Melanie Eckert,Melanie,Eckert,1
Melanie Huml,Melanie,Huml,1
Melanie Mühl,Melanie,Mühl,1
Melanie Müller,Melanie,Müller,1
Melanie Raabe,Melanie,Raabe,1
Melinda Crane,Melinda,Crane,1
Melis Sekmen,Melis,Sekmen,1
Melissa Fleming,Melissa,Fleming,1
Melodie Michelberger,Melodie,Michelberger,1
Melody Sucharewicz,Melody,Sucharewicz,1
Menderes Bağcı,Menderes,Bağcı,0
Meral Sahin,Meral,Sahin,1
Merle Spellerberg,Merle,Spellerberg,0
Merlind Theile,Merlind,Theile,1
Meron Mendel,Meron,Mendel,0
Mesale Tolu,Mesale,Tolu,1
Meta Hiltebrand,Meta,Hiltebrand,1
Mia Guethe,Mia,Guethe,1
Michael Baumann,Michael,Baumann,0
Michael Bewerunge,Michael,Bewerunge,0
Michael Bohmeyer,Michael,Bohmeyer,0
Michael Bollhorn,Michael,Bollhorn,0
Michael Braungart,Michael,Braungart,0
Michael Bröcker,Michael,Bröcker,0
Michael Bublé,Michael,Bublé,0
Michael Bully Herbig,Michael,Bully Herbig,0
Michael Busch,Michael,Busch,0
Michael Butter,Michael,Butter,0
Michael Cretu,Michael,Cretu,0
Michael Esken,Michael,Esken,0
Michael Fanone,Michael,Fanone,0
Michael Fuchs,Michael,Fuchs,0
Michael Fürst,Michael,Fürst,0
Michael George,Michael,George,0
Michael Grosse-Brömer,Michael,Grosse-Brömer,0
Michael Götschenberg,Michael,Götschenberg,0
Michael Hallek,Michael,Hallek,0
Michael Hartmann,Michael,Hartmann,0
Michael Heise,Michael,Heise,0
Michael Hermann,Michael,Hermann,0
Michael Horeni,Michael,Horeni,0
Michael Hüther,Michael,Hüther,0
Michael Jürgs,Michael,Jürgs,0
Michael Kellner,Michael,Kellner,0
Michael Kemmer,Michael,Kemmer,0
Michael Kobr,Michael,Kobr,0
Michael Koß,Michael,Koß,0
Michael Kretschmer,Michael,Kretschmer,0
Michael Kuhr,Michael,Kuhr,0
Michael Kunert,Michael,Kunert,0
Michael Kyrath,Michael,Kyrath,0
Michael Lüders,Michael,Lüders,0
Michael Martin,Michael,Martin,0
Michael Meister,Michael,Meister,0
Michael Meyer-Hermann,Michael,Meyer-Hermann,0
Michael Mittermeier,Michael,Mittermeier,0
Michael Mronz,Michael,Mronz,0
Michael Multerer,Michael,Multerer,0
Michael Müller,Michael,Müller,0
Michael Nattke,Michael,Nattke,0
Michael Opoczynski,Michael,Opoczynski,0
Michael Otto,Michael,Otto,0
Michael Patrick Kelly,Michael,Patrick Kelly,0
Michael Poliza,Michael,Poliza,0
Michael Preetz,Michael,Preetz,0
Michael Prütz,Michael,Prütz,0
Michael Quetting,Michael,Quetting,0
Michael Roth,Michael,Roth,0
Michael Rummenigge,Michael,Rummenigge,0
Michael Räber,Michael,Räber,0
Michael Sasse,Michael,Sasse,0
Michael Schulte-Markwort,Michael,Schulte-Markwort,0
Michael Schulz,Michael,Schulz,0
Michael Schumacher,Michael,Schumacher,0
Michael Scott Moore,Michael,Scott Moore,0
Michael Sommer,Michael,Sommer,0
Michael Spreng,Michael,Spreng,0
Michael Stempfle,Michael,Stempfle,0
Michael Stich,Michael,Stich,0
Michael Theurer,Michael,Theurer,0
Michael Thumann,Michael,Thumann,0
Michael Tsokos,Michael,Tsokos,0
Michael Tönnies,Michael,Tönnies,0
Michael Vassiliadis,Michael,Vassiliadis,0
Michael Vesper,Michael,Vesper,0
Michael Winterhoff,Michael,Winterhoff,0
Michael Wolff,Michael,Wolff,0
Michael Wolffsohn,Michael,Wolffsohn,0
Michael Ziemons,Michael,Ziemons,0
Michaela Dedreux,Michaela,Dedreux,1
Michaela Freifrau Heereman von Zuydtwyck,Michaela,Freifrau Heereman von Zuydtwyck,1
Michaela Horn,Michaela,Horn,1
Michaela Kaniber,Michaela,Kaniber,1
Michaela May,Michaela,May,1
Michaela Merten,Michaela,Merten,1
Michaela Schmitt,Michaela,Schmitt,1
Michail Chodorkowski,Michail,Chodorkowski,0
Michail Kasjanow,Michail,Kasjanow,0
Michalis Pantelouris,Michalis,Pantelouris,0
Michel Abdollahi,Michel,Abdollahi,0
Michel Friedman,Michel,Friedman,0
Michelle (Studentin),Michelle,(Studentin),1
Michelle Hunziker,Michelle,Hunziker,1
Mick Hucknall,Mick,Hucknall,0
Micky Beisenherz,Micky,Beisenherz,0
Mike Leon Grosch,Mike,Leon Grosch,0
Mike Messing,Mike,Messing,0
Mike Mohring,Mike,Mohring,0
Mike Powelz,Mike,Powelz,0
Mike Szczeblewski,Mike,Szczeblewski,0
Mikhail Khodorkovsky,Mikhail,Khodorkovsky,0
Mikko Huotari,Mikko,Huotari,0
Mimi Fiedler,Mimi,Fiedler,1
Minna Ålander,Minna,Ålander,1
Miriam Gebhardt,Miriam,Gebhardt,1
Miriam Höller,Miriam,Höller,1
Miriam Maertens,Miriam,Maertens,1
Miriam Meckel,Miriam,Meckel,1
Miriam Pech,Miriam,Pech,1
Miriam Steimer,Miriam,Steimer,1
Mirja Boes,Mirja,Boes,1
Mirko Drotschmann,Mirko,Drotschmann,0
Mirko Geißler,Mirko,Geißler,0
Miroslav Klose,Miroslav,Klose,0
Miroslav Nemec,Miroslav,Nemec,0
Mischa,Mischa,NA,0
Mithat Sancar,Mithat,Sancar,0
Mitri Sirin,Mitri,Sirin,0
Mo Asumang,Mo,Asumang,0
Mohamed Taha Sabri,Mohamed,Taha Sabri,0
Mojib Latif,Mojib,Latif,0
Mola Adebisi,Mola,Adebisi,0
Mona Neubaur,Mona,Neubaur,1
Monica Lierhaus,Monica,Lierhaus,1
Monika B,Monika,B,1
Monika Beisler,Monika,Beisler,1
Monika Fabricius,Monika,Fabricius,1
Monika Frommel,Monika,Frommel,1
Monika Grütters,Monika,Grütters,1
Monika Hohlmeier,Monika,Hohlmeier,1
Monika Schneider,Monika,Schneider,1
Monika Schnitzer,Monika,Schnitzer,1
Monika Sieverding,Monika,Sieverding,1
Moritz A Sachs,Moritz,A Sachs,0
Moritz Daum,Moritz,Daum,0
Moritz Fürste,Moritz,Fürste,0
Moritz Gathmann,Moritz,Gathmann,0
Moritz Piepel,Moritz,Piepel,0
Moritz Riesewick,Moritz,Riesewick,0
Moritz Schularick,Moritz,Schularick,0
Morten Harket,Morten,Harket,0
Moshe Zimmermann,Moshe,Zimmermann,0
Motsi Mabuse,Motsi,Mabuse,1
Mouhanad Khorchide,Mouhanad,Khorchide,0
Mousse T,Mousse,T,0
Muhanad Al-Halak,Muhanad,Al-Halak,0
Murat Kayman,Murat,Kayman,0
Muriel Kalisch,Muriel,Kalisch,1
Mustafa Karadeniz,Mustafa,Karadeniz,0
Mustafa Yeneroğlu,Mustafa,Yeneroğlu,0
Mychajlo Podoljak,Mychajlo,Podoljak,0
Myriam von M,Myriam,von M,1
Mürvet Öztürk,Mürvet,Öztürk,1
Nadia Murad,Nadia,Murad,1
Nadine Angerer,Nadine,Angerer,1
Nadine Lindner,Nadine,Lindner,1
Nadine Metgenberg,Nadine,Metgenberg,1
Nadja Atwal,Nadja,Atwal,1
Nahla Osman,Nahla,Osman,1
Nahlah Saimeh,Nahlah,Saimeh,1
Nalan Sipar,Nalan,Sipar,1
Nancy Faeser,Nancy,Faeser,1
Nancy Schneider,Nancy,Schneider,1
Nargess Eskandari-Grünberg,Nargess,Eskandari-Grünberg,1
Nariman Reinke,Nariman,Reinke,0
Narina Karitzky,Narina,Karitzky,1
Natalia Avelon,Natalia,Avelon,1
Natalia Bachmayer,Natalia,Bachmayer,1
Natalia Klitschko,Natalia,Klitschko,1
Natalie Amiri,Natalie,Amiri,1
Natalie Claßen,Natalie,Claßen,1
Natalie Dedreux,Natalie,Dedreux,1
Natalie Geisenberger,Natalie,Geisenberger,1
Natalie Grams,Natalie,Grams,1
Natalie Steger,Natalie,Steger,1
Nataliia Fiebrig,Nataliia,Fiebrig,1
Nataly Jung-Hwa Han,Nataly,Jung-Hwa Han,1
Natascha Kampusch,Natascha,Kampusch,1
Natascha Kohnen,Natascha,Kohnen,1
Natascha Ochsenknecht,Natascha,Ochsenknecht,1
Natascha Sindeewa,Natascha,Sindeewa,1
Nathalie Licard,Nathalie,Licard,1
Nathalie Rosenke,Nathalie,Rosenke,1
Nathalie Stüben,Nathalie,Stüben,1
Nathalie Volk,Nathalie,Volk,1
Navid Kermani,Navid,Kermani,0
Nazan Eckes,Nazan,Eckes,1
Necla Kelek,Necla,Kelek,1
Nele Flüchter,Nele,Flüchter,1
Nele Pollatschek,Nele,Pollatschek,1
Nele Thönnessen,Nele,Thönnessen,1
Nelson Müller,Nelson,Müller,0
Nena Schink,Nena,Schink,1
Neven Subotić,Neven,Subotić,0
Nguyen Do Thinh,Nguyen,Do Thinh,0
Nia Künzer,Nia,Künzer,1
Nicholas Müller,Nicholas,Müller,0
Nicholas Smith,Nicholas,Smith,0
Nick Hein,Nick,Hein,0
Nick Yarris,Nick,Yarris,0
Nick Ùt,Nick,Ùt,0
Nicki King,Nicki,King,1
Nico Fried,Nico,Fried,0
Nico Heymer,Nico,Heymer,0
Nico Hofmann,Nico,Hofmann,0
Nico Klassen,Nico,Klassen,0
Nico Patschinski,Nico,Patschinski,0
Nico Richter,Nico,Richter,0
Nico Rosberg,Nico,Rosberg,0
Nico Semsrott,Nico,Semsrott,0
Nicola Baumann,Nicola,Baumann,1
Nicola Beer,Nicola,Beer,1
Nicola Gross,Nicola,Gross,1
Nicola von Hollander,Nicola,von Hollander,1
Nicolas Aschoff,Nicolas,Aschoff,0
Nicolas Hénin,Nicolas,Hénin,0
Nicolaus Fest,Nicolaus,Fest,0
Nicole Bögelein,Nicole,Bögelein,1
Nicole Cross,Nicole,Cross,1
Nicole Deitelhoff,Nicole,Deitelhoff,1
Nicole Diekmann,Nicole,Diekmann,1
Nicole Grünewald,Nicole,Grünewald,1
Nicole Just,Nicole,Just,1
Nicole Jäger,Nicole,Jäger,1
Nicole Merbach,Nicole,Merbach,1
Nicole Staudinger,Nicole,Staudinger,1
Nicole Tabak,Nicole,Tabak,1
Nikeata Thompson,Nikeata,Thompson,1
Niki Lauda,Niki,Lauda,1
Niklas Frank,Niklas,Frank,0
Niko Kappel,Niko,Kappel,0
Nikolaos Gazeas,Nikolaos,Gazeas,0
Nikolaus Blome,Nikolaus,Blome,0
Nikolaus Brender,Nikolaus,Brender,0
Nikolaus Doll,Nikolaus,Doll,0
Nikolaus Schneider,Nikolaus,Schneider,0
Nikolaus Tarouquella-Levitan,Nikolaus,Tarouquella-Levitan,0
Nils Binnberg,Nils,Binnberg,0
Nils Kumkar,Nils,Kumkar,0
Nils Schmid,Nils,Schmid,0
Nils Thal,Nils,Thal,0
Nina Bott,Nina,Bott,1
Nina Böhmer,Nina,Böhmer,1
Nina Chruschtschowa,Nina,Chruschtschowa,1
Nina Kronjäger,Nina,Kronjäger,1
Nina Käsehage,Nina,Käsehage,1
Nina Petri,Nina,Petri,1
Nina Scheer,Nina,Scheer,1
Nina Treu,Nina,Treu,1
Nina Wagner,Nina,Wagner,1
Nina Zacher,Nina,Zacher,1
Nizaqete Bislimi,Nizaqete,Bislimi,1
Noah Klieger,Noah,Klieger,0
Nora Illi,Nora,Illi,1
Nora Markard,Nora,Markard,1
Nora Seitz,Nora,Seitz,1
Nora Tschirner,Nora,Tschirner,1
Norbert Blüm,Norbert,Blüm,0
Norbert Dickel,Norbert,Dickel,0
Norbert Fiebig,Norbert,Fiebig,0
Norbert Nedopil,Norbert,Nedopil,0
Norbert Reicherts,Norbert,Reicherts,0
Norbert Rosing,Norbert,Rosing,0
Norbert Röttgen,Norbert,Röttgen,0
Norbert Sachser,Norbert,Sachser,0
Norbert Walter-Borjans,Norbert,Walter-Borjans,0
Norbert Zajac,Norbert,Zajac,0
Noël Martin,Noël,Martin,0
Nujeen Mustafa,Nujeen,Mustafa,0
Numan Acar,Numan,Acar,0
Nurjana Arslanova,Nurjana,Arslanova,1
Oberst André Wüstner,Oberst,André Wüstner,0
Olaf Forner,Olaf,Forner,0
Olaf Gericke,Olaf,Gericke,0
Olaf Köller,Olaf,Köller,0
Olaf Sander,Olaf,Sander,0
Olaf Scholz,Olaf,Scholz,0
Olaf Seiche,Olaf,Seiche,0
Olaf Sundermeyer,Olaf,Sundermeyer,0
Olaf Tschimpke,Olaf,Tschimpke,0
Ole Lehmann,Ole,Lehmann,0
Ole Nymoen,Ole,Nymoen,0
Ole Plogstedt,Ole,Plogstedt,0
Ole von Beust,Ole,von Beust,0
Oleg Krasnitskiy,Oleg,Krasnitskiy,0
Oleksandra Bienert,Oleksandra,Bienert,1
Oleksii Makeiev,Oleksii,Makeiev,0
Oleksij Makejew,Oleksij,Makejew,0
Oliver Berben,Oliver,Berben,0
Oliver Decker,Oliver,Decker,0
Oliver Geissen,Oliver,Geissen,0
Oliver Jahr,Oliver,Jahr,0
Oliver Kalkofe,Oliver,Kalkofe,0
Oliver Krischer,Oliver,Krischer,0
Oliver Köhr,Oliver,Köhr,0
Oliver Maria Schmitt,Oliver,Maria Schmitt,0
Oliver Mayer-Rüth,Oliver,Mayer-Rüth,0
Oliver Mommsen,Oliver,Mommsen,0
Oliver Petszokat,Oliver,Petszokat,0
Oliver Pocher,Oliver,Pocher,0
Oliver Polak,Oliver,Polak,0
Oliver Schmidt-Gutzat,Oliver,Schmidt-Gutzat,0
Oliver Schröm,Oliver,Schröm,0
Oliver Welke,Oliver,Welke,0
Oliver Wittke,Oliver,Wittke,0
Olivia Jones,Olivia,Jones,1
Olivia Kortas,Olivia,Kortas,1
Olli Dittrich,Olli,Dittrich,0
Omid Nouripour,Omid,Nouripour,0
Omid Saleh,Omid,Saleh,0
Onkel Fisch,Onkel,Fisch,0
Ortrud Wohlwend,Ortrud,Wohlwend,1
Oskar Lafontaine,Oskar,Lafontaine,0
Ottfried Fischer,Ottfried,Fischer,0
Ottmar Edenhofer,Ottmar,Edenhofer,0
Otto Addo,Otto,Addo,0
Otto Fricke,Otto,Fricke,0
Otto Schily,Otto,Schily,0
Ottogerd Karasch,Ottogerd,Karasch,0
Oxana Giesbrecht,Oxana,Giesbrecht,1
Ozan Ceyhun,Ozan,Ceyhun,0
Panagiota Petridou,Panagiota,Petridou,1
Pari Roehi,Pari,Roehi,1
Pascal Bates,Pascal,Bates,0
Pascal Mauf,Pascal,Mauf,0
Pasquale Aleardi,Pasquale,Aleardi,0
Patric Heizmann,Patric,Heizmann,0
Patricia Kaas,Patricia,Kaas,1
Patricia Kelly,Patricia,Kelly,1
Patricia Thielemann,Patricia,Thielemann,1
Patrick Allgaier,Patrick,Allgaier,0
Patrick Esume,Patrick,Esume,0
Patrick Gensing,Patrick,Gensing,0
Patrick Irlsperger,Patrick,Irlsperger,0
Patrick Lange,Patrick,Lange,0
Patrick Larscheid,Patrick,Larscheid,0
Patrick Owomoyela,Patrick,Owomoyela,0
Patrick Rexin,Patrick,Rexin,0
Patrick Wasserziehr,Patrick,Wasserziehr,0
Patrick Zahn,Patrick,Zahn,0
Patrick von Braunmühl,Patrick,von Braunmühl,0
Patrik Baboumian,Patrik,Baboumian,0
Patrizia Schlosser,Patrizia,Schlosser,1
Paul Hoepner,Paul,Hoepner,0
Paul Panzer,Paul,Panzer,0
Paul Ronzheimer,Paul,Ronzheimer,0
Paul Ziemiak,Paul,Ziemiak,0
Paul van Dyk,Paul,van Dyk,0
Paulina Unfried,Paulina,Unfried,1
Pauline Brünger,Pauline,Brünger,1
Pauline de Bok,Pauline,de Bok,1
Peer Briken,Peer,Briken,0
Peer Steinbrück,Peer,Steinbrück,0
Pegah Ferydoni,Pegah,Ferydoni,1
Per Mertesacker,Per,Mertesacker,0
Perikles Simon,Perikles,Simon,0
Peter Altmaier,Peter,Altmaier,0
Peter Berthold,Peter,Berthold,0
